profile_id,competition_points,internship_points,raw_skill_score,skill_level,total_confidence_boost,competition_event_count,internship_event_count,skills_json
ALU-0103,2.7,0.0,2.7,Beginner,0.05,1,0,[]
ALU-0104,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0106,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0107,2.7,0.0,2.7,Beginner,0.05,1,0,[]
ALU-0111,1.8,0.0,1.8,Beginner,0.05,1,0,[]
ALU-0114,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0115,30.0,0.0,30.0,Intermediate,0.25,1,0,[]
ALU-0116,33.0,0.0,33.0,Intermediate,0.05,1,0,[]
ALU-0121,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0122,21.6,0.0,21.6,Developing,0.05,1,0,[]
ALU-0123,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0125,20.4,0.0,20.4,Developing,0.05,1,0,[]
ALU-0127,4.0,0.0,4.0,Beginner,0.05,1,0,[]
ALU-0128,6.0,0.0,6.0,Beginner,0.05,1,0,[]
ALU-0129,6.0,0.0,6.0,Beginner,0.05,1,0,[]
ALU-0130,50.1,0.0,50.1,Intermediate,0.2,4,0,[]
ALU-0131,6.6,0.0,6.6,Beginner,0.05,1,0,[]
ALU-0132,20.4,0.0,20.4,Developing,0.05,1,0,[]
ALU-0134,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0135,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0136,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0139,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0140,8.8,0.0,8.8,Beginner,0.05,1,0,[]
ALU-0141,23.8,0.0,23.8,Developing,0.1,2,0,[]
ALU-0143,18.0,0.0,18.0,Developing,0.05,1,0,[]
ALU-0144,18.45,0.0,18.45,Developing,0.15,3,0,[]
ALU-0146,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0147,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0152,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0154,43.8,0.0,43.8,Intermediate,0.1,2,0,[]
ALU-0155,87.0,0.0,87.0,Advanced,0.1,2,0,[]
ALU-0156,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0157,0.0,18.0,18.0,Developing,0.03,0,1,[]
ALU-0158,55.0,0.0,55.0,Proficient,0.1,2,0,[]
ALU-0160,3.0,0.0,3.0,Beginner,0.05,1,0,[]
ALU-0161,24.0,0.0,24.0,Developing,0.05,1,0,[]
ALU-0166,3.6,0.0,3.6,Beginner,0.05,1,0,[]
ALU-0168,15.0,0.0,15.0,Developing,0.1,2,0,[]
ALU-0169,8.8,0.0,8.8,Beginner,0.05,1,0,[]
ALU-0171,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0173,12.6,0.0,12.6,Developing,0.05,1,0,[]
ALU-0174,4.0,0.0,4.0,Beginner,0.05,1,0,[]
ALU-0175,9.9,0.0,9.9,Beginner,0.05,1,0,[]
ALU-0176,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0177,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0181,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0182,13.2,0.0,13.2,Developing,0.05,1,0,[]
ALU-0184,37.5,0.0,37.5,Intermediate,0.1,2,0,[]
ALU-0185,35.2,0.0,35.2,Intermediate,0.1,2,0,[]
ALU-0186,45.0,21.6,66.6,Proficient,0.35,1,1,[]
ALU-0187,33.0,0.0,33.0,Intermediate,0.05,1,0,[]
ALU-0188,9.0,0.0,9.0,Beginner,0.05,1,0,[]
ALU-0191,13.2,0.0,13.2,Developing,0.05,1,0,[]
ALU-0195,4.5,0.0,4.5,Beginner,0.05,1,0,[]
ALU-0199,17.7,0.0,17.7,Developing,0.1,2,0,[]
ALU-0200,30.6,0.0,30.6,Intermediate,0.05,1,0,[]
STU-0001,0.0,14.4,14.4,Developing,0.2,0,1,[]
STU-0003,20.4,0.0,20.4,Developing,0.05,1,0,[]
STU-0004,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0005,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0006,6.0,0.0,6.0,Beginner,0.05,1,0,[]
STU-0008,4.5,0.0,4.5,Beginner,0.05,1,0,[]
STU-0009,9.0,0.0,9.0,Beginner,0.05,1,0,[]
STU-0010,9.0,0.0,9.0,Beginner,0.05,1,0,[]
STU-0011,9.9,0.0,9.9,Beginner,0.05,1,0,[]
STU-0012,34.6,0.0,34.6,Intermediate,0.1,2,0,[]
STU-0013,49.7,0.0,49.7,Intermediate,0.25,5,0,[]
STU-0014,17.7,0.0,17.7,Developing,0.1,2,0,[]
STU-0016,18.4,0.0,18.4,Developing,0.15,3,0,[]
STU-0017,119.32,0.0,119.32,Advanced,0.3,6,0,[]
STU-0018,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0020,24.75,0.0,24.75,Developing,0.05,1,0,[]
STU-0021,17.6,0.0,17.6,Developing,0.05,1,0,[]
STU-0030,49.4,0.0,49.4,Intermediate,0.1,2,0,[]
STU-0031,16.5,0.0,16.5,Developing,0.05,1,0,[]
STU-0033,16.8,0.0,16.8,Developing,0.05,1,0,[]
STU-0036,16.0,0.0,16.0,Developing,0.05,1,0,[]
STU-0037,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0039,0.0,15.0,15.0,Developing,0.03,0,1,[]
STU-0040,13.2,0.0,13.2,Developing,0.05,1,0,[]
STU-0041,48.0,0.0,48.0,Intermediate,0.1,2,0,[]
STU-0042,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0044,7.2,0.0,7.2,Beginner,0.05,1,0,[]
STU-0045,3.6,0.0,3.6,Beginner,0.05,1,0,[]
STU-0047,60.0,0.0,60.0,Proficient,0.05,1,0,[]
STU-0051,35.2,0.0,35.2,Intermediate,0.1,2,0,[]
STU-0052,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0053,23.6,12.24,35.84,Intermediate,0.23,4,1,[]
STU-0055,0.0,3.84,3.84,Beginner,0.03,0,1,[]
STU-0056,45.3,0.0,45.3,Intermediate,0.15,3,0,[]
STU-0057,6.0,0.0,6.0,Beginner,0.05,1,0,[]
STU-0058,23.4,0.0,23.4,Developing,0.15,3,0,[]
STU-0062,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0063,8.8,0.0,8.8,Beginner,0.05,1,0,[]
STU-0064,9.9,0.0,9.9,Beginner,0.05,1,0,[]
STU-0065,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0067,36.0,0.0,36.0,Intermediate,0.05,1,0,[]
STU-0068,48.5,0.0,48.5,Intermediate,0.1,2,0,[]
STU-0070,16.5,0.0,16.5,Developing,0.05,1,0,[]
STU-0071,6.0,0.0,6.0,Beginner,0.05,1,0,[]
STU-0072,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0073,4.8,0.0,4.8,Beginner,0.05,1,0,[]
STU-0076,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0077,8.0,0.0,8.0,Beginner,0.05,1,0,[]
STU-0078,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0079,6.75,0.0,6.75,Beginner,0.05,1,0,[]
STU-0080,24.75,0.0,24.75,Developing,0.05,1,0,[]
STU-0081,2.7,0.0,2.7,Beginner,0.05,1,0,[]
STU-0082,5.4,0.0,5.4,Beginner,0.05,1,0,[]
STU-0085,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0087,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0088,5.4,0.0,5.4,Beginner,0.05,1,0,[]
STU-0089,16.8,0.0,16.8,Developing,0.05,1,0,[]
STU-0090,4.0,18.0,22.0,Developing,0.25,1,1,[]
STU-0091,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0092,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0094,48.0,0.0,48.0,Intermediate,0.25,1,0,[]
STU-0095,13.2,0.0,13.2,Developing,0.05,1,0,[]
STU-0097,8.0,0.0,8.0,Beginner,0.05,1,0,[]
STU-0098,33.0,0.0,33.0,Intermediate,0.05,1,0,[]
STU-0099,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0101,2.4,0.0,2.4,Beginner,0.05,1,0,[]
STU-0103,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0104,15.9,0.0,15.9,Developing,0.1,2,0,[]
STU-0105,9.9,0.0,9.9,Beginner,0.05,1,0,[]
STU-0106,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0107,66.0,0.0,66.0,Proficient,0.2,2,0,[]
STU-0109,42.6,0.0,42.6,Intermediate,0.1,2,0,[]
STU-0111,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0113,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0115,24.9,0.0,24.9,Developing,0.15,3,0,[]
STU-0116,44.0,0.0,44.0,Intermediate,0.05,1,0,[]
STU-0118,15.3,0.0,15.3,Developing,0.05,1,0,[]
STU-0121,3.6,0.0,3.6,Beginner,0.05,1,0,[]
STU-0122,23.76,0.0,23.76,Developing,0.1,2,0,[]
STU-0123,22.0,0.0,22.0,Developing,0.05,1,0,[]
STU-0125,0.0,25.0,25.0,Developing,0.3,0,1,[]
STU-0126,140.25,0.0,140.25,Expert,0.4,8,0,[]
STU-0132,4.8,0.0,4.8,Beginner,0.05,1,0,[]
STU-0134,33.0,0.0,33.0,Intermediate,0.05,1,0,[]
STU-0135,51.0,0.0,51.0,Proficient,0.2,2,0,[]
STU-0138,55.2,0.0,55.2,Proficient,0.1,2,0,[]
STU-0139,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0140,8.0,0.0,8.0,Beginner,0.05,1,0,[]
STU-0141,76.3,0.0,76.3,Proficient,0.3,6,0,[]
STU-0142,19.2,0.0,19.2,Developing,0.05,1,0,[]
STU-0143,0.0,12.96,12.96,Developing,0.03,0,1,[]
STU-0144,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0145,26.4,0.0,26.4,Intermediate,0.1,2,0,[]
STU-0146,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0147,3.0,0.0,3.0,Beginner,0.05,1,0,[]
STU-0148,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0149,0.0,21.6,21.6,Developing,0.2,0,1,[]
STU-0151,0.0,14.4,14.4,Developing,0.2,0,1,[]
STU-0155,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0157,13.2,0.0,13.2,Developing,0.05,1,0,[]
STU-0158,26.4,0.0,26.4,Intermediate,0.05,1,0,[]
STU-0160,22.4,12.24,34.64,Intermediate,0.08,1,1,[]
STU-0163,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0164,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0165,76.0,0.0,76.0,Proficient,0.15,3,0,[]
STU-0168,7.2,0.0,7.2,Beginner,0.05,1,0,[]
STU-0169,0.0,12.24,12.24,Developing,0.03,0,1,[]
STU-0172,6.6,0.0,6.6,Beginner,0.05,1,0,[]
STU-0173,8.8,0.0,8.8,Beginner,0.05,1,0,[]
STU-0174,8.8,0.0,8.8,Beginner,0.05,1,0,[]
STU-0176,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0178,20.4,0.0,20.4,Developing,0.05,1,0,[]
STU-0180,19.8,0.0,19.8,Developing,0.05,1,0,[]
STU-0183,35.9,0.0,35.9,Intermediate,0.15,3,0,[]
STU-0185,4.0,0.0,4.0,Beginner,0.05,1,0,[]
STU-0186,27.0,0.0,27.0,Intermediate,0.05,1,0,[]
STU-0187,4.8,0.0,4.8,Beginner,0.05,1,0,[]
STU-0188,18.0,0.0,18.0,Developing,0.05,1,0,[]
STU-0189,3.0,0.0,3.0,Beginner,0.05,1,0,[]
STU-0190,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0191,6.0,0.0,6.0,Beginner,0.05,1,0,[]
STU-0193,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0198,6.0,0.0,6.0,Beginner,0.05,1,0,[]
STU-0199,21.2,0.0,21.2,Developing,0.1,2,0,[]
STU-0201,6.3,0.0,6.3,Beginner,0.1,2,0,[]
STU-0202,24.75,0.0,24.75,Developing,0.05,1,0,[]
STU-0205,31.5,0.0,31.5,Intermediate,0.1,2,0,[]
STU-0207,19.8,0.0,19.8,Developing,0.05,1,0,[]
STU-0208,13.2,0.0,13.2,Developing,0.05,1,0,[]
STU-0209,20.4,0.0,20.4,Developing,0.05,1,0,[]
STU-0210,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0211,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0212,3.6,0.0,3.6,Beginner,0.05,1,0,[]
STU-0213,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0215,0.0,25.0,25.0,Developing,0.3,0,1,[]
STU-0217,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0222,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0223,43.6,0.0,43.6,Intermediate,0.1,2,0,[]
STU-0224,4.8,6.4,11.2,Developing,0.17,1,1,[]
STU-0225,10.0,0.0,10.0,Beginner,0.1,2,0,[]
STU-0232,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0236,22.0,0.0,22.0,Developing,0.05,1,0,[]
STU-0237,9.0,0.0,9.0,Beginner,0.05,1,0,[]
STU-0239,40.0,0.0,40.0,Intermediate,0.25,1,0,[]
STU-0240,6.75,0.0,6.75,Beginner,0.05,1,0,[]
STU-0241,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0242,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0243,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0244,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0245,29.1,0.0,29.1,Intermediate,0.1,2,0,[]
STU-0247,33.0,0.0,33.0,Intermediate,0.05,1,0,[]
STU-0248,38.25,0.0,38.25,Intermediate,0.05,1,0,[]
STU-0249,5.4,0.0,5.4,Beginner,0.05,1,0,[]
STU-0253,13.2,0.0,13.2,Developing,0.05,1,0,[]
STU-0254,44.0,0.0,44.0,Intermediate,0.05,1,0,[]
STU-0255,10.2,0.0,10.2,Beginner,0.1,2,0,[]
STU-0256,19.8,0.0,19.8,Developing,0.05,1,0,[]
STU-0257,22.0,0.0,22.0,Developing,0.05,1,0,[]
STU-0258,6.0,0.0,6.0,Beginner,0.05,1,0,[]
STU-0259,9.0,0.0,9.0,Beginner,0.05,1,0,[]
STU-0261,2.4,0.0,2.4,Beginner,0.05,1,0,[]
STU-0262,0.0,8.16,8.16,Beginner,0.03,0,1,[]
STU-0265,2.7,0.0,2.7,Beginner,0.05,1,0,[]
STU-0266,19.8,0.0,19.8,Developing,0.05,1,0,[]
STU-0267,44.0,0.0,44.0,Intermediate,0.05,1,0,[]
STU-0268,9.72,0.0,9.72,Beginner,0.1,2,0,[]
STU-0269,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0270,29.2,0.0,29.2,Intermediate,0.15,3,0,[]
STU-0271,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0272,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0273,60.0,0.0,60.0,Proficient,0.15,1,0,[]
STU-0274,19.8,0.0,19.8,Developing,0.05,1,0,[]
STU-0275,33.0,0.0,33.0,Intermediate,0.05,1,0,[]
STU-0276,33.15,0.0,33.15,Intermediate,0.1,2,0,[]
STU-0277,4.5,0.0,4.5,Beginner,0.05,1,0,[]
STU-0279,9.9,0.0,9.9,Beginner,0.05,1,0,[]
STU-0280,6.0,0.0,6.0,Beginner,0.05,1,0,[]
STU-0281,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0284,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0285,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0288,0.0,30.0,30.0,Intermediate,0.3,0,1,[]
STU-0290,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0291,31.95,0.0,31.95,Intermediate,0.2,4,0,[]
STU-0292,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0295,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0297,13.2,0.0,13.2,Developing,0.05,1,0,[]
STU-0299,0.0,0.0,0.0,Beginner,0.0,0,0,[]
STU-0300,4.0,0.0,4.0,Beginner,0.05,1,0,[]
