profile_id,competitions_participated,competitions_won,finalist_count,organizer_count,leadership_role_count,achievement_count,national_impact_count,regional_impact_count,campus_impact_count,portfolio_scale,ais_raw,ais_normalized,grit_raw,grit_normalized,success_score,success_prediction_label,risk_score,at_risk_label,review_flag
ALU-0143,1,1,0,0,0,0,0,0,0,0.693,5.693,15.74,6.0,21.43,1,1,3,0,needs_support
ALU-0144,3,0,0,0,1,1,1,0,0,1.77,8.77,25.43,12.0,42.86,0,0,3,0,needs_support
ALU-0146,0,0,0,0,0,1,0,1,0,0.762,2.262,4.94,0.0,0.0,0,0,5,1,needs_support
ALU-0147,0,0,0,0,0,1,1,0,0,0.762,3.762,9.66,0.0,0.0,0,0,5,1,needs_support
ALU-0152,0,0,0,0,0,2,0,0,2,1.208,2.208,4.77,0.0,0.0,0,0,5,1,needs_support
ALU-0154,2,1,1,0,0,0,0,0,0,1.099,8.099,23.32,10.0,35.71,1,1,2,0,needs_support
ALU-0155,2,2,0,0,0,0,0,0,0,1.099,11.099,32.76,12.0,42.86,2,1,2,0,needs_support
ALU-0156,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,0,5,1,needs_support
ALU-0157,0,0,0,0,1,2,1,0,1,1.318,8.818,25.58,0.0,0.0,0,0,5,1,needs_support
ALU-0158,2,0,2,0,0,1,1,0,0,1.525,8.525,24.66,8.0,28.57,0,0,3,0,needs_support
ALU-0160,1,0,1,1,1,1,0,1,0,1.208,8.708,25.24,4.0,14.29,0,0,4,0,needs_support
ALU-0161,1,1,0,0,0,0,0,0,0,0.693,5.693,15.74,6.0,21.43,1,1,3,0,needs_support
ALU-0166,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,0,needs_support
ALU-0168,2,0,1,0,0,0,0,0,0,1.099,3.099,7.58,8.0,28.57,0,0,3,0,needs_support
ALU-0169,1,0,1,0,1,1,1,0,0,1.208,10.208,29.96,4.0,14.29,0,0,4,0,needs_support
ALU-0171,0,0,0,0,0,1,0,1,0,0.762,2.262,4.94,0.0,0.0,0,0,5,1,needs_support
ALU-0173,1,1,0,0,0,1,0,0,1,1.208,6.708,18.94,6.0,21.43,1,1,3,0,needs_support
ALU-0174,1,0,0,1,1,1,1,0,0,1.208,8.208,23.66,4.0,14.29,0,0,4,0,needs_support
ALU-0175,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,0,needs_support
ALU-0176,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,0,5,1,needs_support
ALU-0177,0,0,0,0,0,1,1,0,0,0.762,3.762,9.66,0.0,0.0,0,0,5,1,needs_support
ALU-0181,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,0,5,1,needs_support
ALU-0182,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,0,needs_support
ALU-0184,2,0,1,1,1,1,0,0,1,1.525,8.025,23.08,8.0,28.57,0,0,3,0,needs_support
ALU-0185,2,0,2,0,0,0,0,0,0,1.099,5.099,13.87,8.0,28.57,0,0,3,0,needs_support
ALU-0186,1,1,0,0,1,1,0,1,0,1.208,11.708,34.68,6.0,21.43,1,1,3,0,needs_support
ALU-0187,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,0,needs_support
ALU-0188,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,0,needs_support
ALU-0191,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,0,needs_support
ALU-0195,1,0,0,0,1,1,0,0,1,1.208,5.708,15.79,4.0,14.29,0,0,4,0,needs_support
ALU-0199,2,0,1,0,0,1,0,1,0,1.525,5.025,13.64,8.0,28.57,0,0,3,0,needs_support
ALU-0200,1,1,0,0,0,0,0,0,0,0.693,5.693,15.74,6.0,21.43,1,1,3,0,needs_support
STU-0001,0,0,0,0,1,1,0,1,0,0.762,6.262,17.53,0.0,0.0,0,0,5,1,needs_support
STU-0003,1,1,0,0,1,1,1,0,0,1.208,13.208,39.4,6.0,21.43,1,1,3,0,needs_support
STU-0004,0,0,0,0,0,1,0,1,0,0.762,2.262,4.94,0.0,0.0,0,0,5,1,needs_support
STU-0005,0,0,0,0,0,1,1,0,0,0.762,3.762,9.66,0.0,0.0,0,0,5,1,needs_support
STU-0006,1,0,0,0,1,1,1,0,0,1.208,8.208,23.66,4.0,14.29,0,0,4,0,needs_support
STU-0008,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,0,needs_support
STU-0009,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,0,needs_support
STU-0010,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,0,needs_support
STU-0011,1,0,1,0,1,1,0,0,1,1.208,7.708,22.09,4.0,14.29,0,0,4,0,needs_support
STU-0012,2,1,0,1,1,1,1,0,0,1.525,13.525,40.4,7.0,25.0,1,1,2,0,needs_support
STU-0013,5,0,4,1,1,0,0,0,0,1.792,13.792,41.24,14.0,50.0,0,0,3,0,needs_support
STU-0014,2,0,1,0,0,0,0,0,0,1.099,3.099,7.58,8.0,28.57,0,0,3,0,needs_support
STU-0016,3,0,0,1,1,3,0,2,1,2.53,10.03,29.4,9.0,32.14,1,1,2,0,needs_support
STU-0017,6,2,3,0,0,1,0,0,1,2.287,18.787,56.97,22.0,78.57,2,1,2,0,steady_builder
STU-0018,0,0,0,0,0,2,0,1,1,1.318,3.318,8.26,0.0,0.0,0,0,5,1,needs_support
STU-0020,1,0,1,0,0,1,0,1,0,1.208,4.708,12.64,4.0,14.29,0,0,4,0,needs_support
STU-0021,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,0,needs_support
STU-0030,2,0,1,0,0,1,1,0,0,1.525,6.525,18.36,8.0,28.57,0,0,3,0,needs_support
STU-0031,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,0,needs_support
STU-0033,1,1,0,0,0,1,0,0,1,1.208,6.708,18.94,6.0,21.43,1,1,3,0,needs_support
STU-0036,1,1,0,0,0,0,0,0,0,0.693,5.693,15.74,6.0,21.43,1,1,3,0,needs_support
STU-0037,0,0,0,0,1,2,0,2,0,1.318,8.318,24.01,0.0,0.0,0,0,5,1,needs_support
STU-0039,0,0,0,0,1,1,1,0,0,0.762,7.762,22.26,0.0,0.0,0,0,5,1,needs_support
STU-0040,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,0,needs_support
STU-0041,2,0,1,1,1,1,0,1,0,1.525,9.025,26.23,8.0,28.57,0,0,3,0,needs_support
STU-0042,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,0,5,1,needs_support
STU-0044,1,0,0,0,0,3,2,0,1,2.092,8.592,24.87,4.0,14.29,0,0,4,0,needs_support
STU-0045,1,0,0,0,0,2,0,1,1,1.525,3.525,8.92,4.0,14.29,0,0,4,0,needs_support
STU-0047,1,1,0,0,0,1,0,1,0,1.208,7.708,22.09,6.0,21.43,1,1,3,0,needs_support
STU-0051,2,0,2,0,0,0,0,0,0,1.099,5.099,13.87,8.0,28.57,0,0,3,0,needs_support
STU-0052,0,0,0,0,0,2,1,1,0,1.318,5.818,16.14,0.0,0.0,0,0,5,1,needs_support
STU-0053,4,0,1,2,4,5,3,1,1,3.454,32.454,100.0,16.0,57.14,1,1,2,0,emerging_leader
STU-0055,0,0,0,0,1,1,1,0,0,0.762,7.762,22.26,0.0,0.0,0,0,5,1,needs_support
STU-0056,3,1,2,1,1,2,0,0,2,1.971,15.971,48.1,11.0,39.29,1,1,2,0,needs_support
STU-0057,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,0,needs_support
STU-0058,3,0,2,1,1,2,0,1,1,2.15,12.15,36.07,9.0,32.14,0,0,3,0,needs_support
STU-0062,0,0,0,0,0,1,1,0,0,0.762,3.762,9.66,0.0,0.0,0,0,5,1,needs_support
STU-0063,1,0,1,0,1,1,0,0,1,1.208,7.708,22.09,4.0,14.29,0,0,4,0,needs_support
STU-0064,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,0,needs_support
STU-0065,0,0,0,0,1,1,1,0,0,0.762,7.762,22.26,0.0,0.0,0,0,5,1,needs_support
STU-0067,1,1,0,0,0,0,0,0,0,0.693,5.693,15.74,6.0,21.43,1,1,3,0,needs_support
STU-0068,2,0,1,1,1,0,0,0,0,1.099,7.099,20.17,8.0,28.57,0,0,3,0,needs_support
STU-0070,1,0,1,0,1,1,0,0,1,1.208,7.708,22.09,4.0,14.29,0,0,4,0,needs_support
STU-0071,1,0,0,1,1,0,0,0,0,0.693,4.693,12.59,4.0,14.29,0,0,4,0,needs_support
STU-0072,0,0,0,0,2,3,0,0,3,1.664,11.164,32.97,0.0,0.0,0,0,5,1,needs_support
STU-0073,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,0,needs_support
STU-0076,0,0,0,0,1,1,0,0,1,0.762,5.262,14.39,0.0,0.0,0,0,5,1,needs_support
STU-0077,1,0,0,1,1,0,0,0,0,0.693,4.693,12.59,4.0,14.29,0,0,4,0,needs_support
STU-0078,0,0,0,0,1,1,0,0,1,0.762,5.262,14.39,0.0,0.0,0,0,5,1,needs_support
STU-0079,1,0,0,0,1,1,0,0,1,1.208,5.708,15.79,4.0,14.29,0,0,4,0,needs_support
STU-0080,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,0,needs_support
STU-0081,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,0,needs_support
STU-0082,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,0,needs_support
STU-0085,0,0,0,0,1,1,0,1,0,0.762,6.262,17.53,0.0,0.0,0,0,5,1,needs_support
STU-0087,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,0,5,1,needs_support
STU-0088,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,0,needs_support
STU-0089,1,1,0,0,0,0,0,0,0,0.693,5.693,15.74,6.0,21.43,1,1,3,0,needs_support
STU-0090,1,0,0,1,2,2,1,0,1,1.664,13.164,39.27,4.0,14.29,0,0,4,0,needs_support
STU-0091,0,0,0,0,0,1,1,0,0,0.762,3.762,9.66,0.0,0.0,0,0,5,1,needs_support
STU-0092,0,0,0,0,0,2,1,1,0,1.318,5.818,16.14,0.0,0.0,0,0,5,1,needs_support
STU-0094,1,1,0,0,0,0,0,0,0,0.693,5.693,15.74,6.0,21.43,1,1,3,0,needs_support
STU-0095,1,0,1,0,0,3,0,2,1,2.092,7.592,21.72,4.0,14.29,0,0,4,0,needs_support
STU-0097,1,0,0,1,1,0,0,0,0,0.693,4.693,12.59,4.0,14.29,0,0,4,0,needs_support
STU-0098,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,0,needs_support
STU-0099,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,0,5,1,needs_support
STU-0101,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,0,needs_support
STU-0103,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,0,5,1,needs_support
STU-0104,2,0,1,0,0,0,0,0,0,1.099,3.099,7.58,5.0,17.86,0,0,3,0,needs_support
STU-0105,1,0,1,0,0,1,1,0,0,1.208,6.208,17.36,4.0,14.29,0,0,4,0,needs_support
STU-0106,0,0,0,0,0,1,0,1,0,0.762,2.262,4.94,0.0,0.0,0,0,5,1,needs_support
STU-0107,2,1,0,1,1,0,0,0,0,1.099,10.099,29.61,10.0,35.71,1,1,2,0,needs_support
STU-0109,2,1,1,0,1,2,0,1,1,1.931,14.931,44.83,10.0,35.71,1,1,2,0,needs_support
STU-0111,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,0,5,1,needs_support
STU-0113,0,0,0,0,1,3,0,1,2,1.802,8.302,23.96,0.0,0.0,0,0,5,1,needs_support
STU-0115,3,0,1,1,1,4,1,0,3,2.703,13.203,39.39,12.0,42.86,1,1,2,0,needs_support
STU-0116,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,1,needs_support
STU-0118,1,1,0,0,0,0,0,0,0,0.693,5.693,15.74,6.0,21.43,1,1,3,0,needs_support
STU-0121,1,0,0,0,1,1,1,0,0,1.208,8.208,23.66,4.0,14.29,0,0,4,1,needs_support
STU-0122,2,0,2,0,0,0,0,0,0,1.099,5.099,13.87,8.0,28.57,0,0,3,0,needs_support
STU-0123,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,1,needs_support
STU-0125,0,0,0,0,1,2,0,1,1,1.318,7.318,20.86,0.0,0.0,0,0,5,1,needs_support
STU-0126,8,1,3,0,1,4,0,2,2,3.591,22.591,68.95,28.0,100.0,2,1,1,0,steady_builder
STU-0132,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,1,needs_support
STU-0134,1,0,1,0,0,1,0,1,0,1.208,4.708,12.64,4.0,14.29,0,0,4,1,needs_support
STU-0135,2,1,1,0,0,0,0,0,0,1.099,8.099,23.32,10.0,35.71,1,1,2,0,needs_support
STU-0138,2,1,1,0,0,0,0,0,0,1.099,8.099,23.32,7.0,25.0,1,1,2,0,needs_support
STU-0139,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,0,5,1,needs_support
STU-0140,1,0,0,1,1,1,1,0,0,1.208,8.208,23.66,4.0,14.29,0,0,4,1,needs_support
STU-0141,6,1,1,2,2,2,1,0,1,2.637,21.137,64.37,23.0,82.14,2,1,1,0,steady_builder
STU-0142,1,1,0,0,0,0,0,0,0,0.693,5.693,15.74,6.0,21.43,1,1,3,0,needs_support
STU-0143,0,0,0,0,1,1,0,0,1,0.762,5.262,14.39,0.0,0.0,0,0,5,1,needs_support
STU-0144,0,0,0,0,0,1,0,1,0,0.762,2.262,4.94,0.0,0.0,0,0,5,1,needs_support
STU-0145,2,0,2,0,0,0,0,0,0,1.099,5.099,13.87,8.0,28.57,0,0,3,0,needs_support
STU-0146,0,0,0,0,1,1,0,0,1,0.762,5.262,14.39,0.0,0.0,0,0,5,1,needs_support
STU-0147,1,0,1,1,1,0,0,0,0,0.693,6.693,18.89,4.0,14.29,0,0,4,1,needs_support
STU-0148,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,0,5,1,needs_support
STU-0149,0,0,0,0,1,1,0,0,1,0.762,5.262,14.39,0.0,0.0,0,0,5,1,needs_support
STU-0151,0,0,0,0,1,1,0,0,1,0.762,5.262,14.39,0.0,0.0,0,0,5,1,needs_support
STU-0155,0,0,0,0,0,2,0,0,2,1.318,2.318,5.12,0.0,0.0,0,0,5,1,needs_support
STU-0157,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,1,needs_support
STU-0158,1,0,1,0,0,1,0,0,1,1.208,3.708,9.49,4.0,14.29,0,0,4,1,needs_support
STU-0160,1,1,0,0,1,1,0,1,0,1.208,11.708,34.68,6.0,21.43,1,1,3,0,needs_support
STU-0163,0,0,0,0,1,1,0,0,1,0.762,5.262,14.39,0.0,0.0,0,0,5,1,needs_support
STU-0164,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,0,5,1,needs_support
STU-0165,3,1,1,0,1,1,0,1,0,1.77,14.27,42.75,14.0,50.0,1,1,2,0,needs_support
STU-0168,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,1,needs_support
STU-0169,0,0,0,0,1,1,0,0,1,0.762,5.262,14.39,0.0,0.0,0,0,5,1,needs_support
STU-0172,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,1,needs_support
STU-0173,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,1,needs_support
STU-0174,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,1,needs_support
STU-0176,0,0,0,0,1,1,1,0,0,0.762,7.762,22.26,0.0,0.0,0,0,5,1,needs_support
STU-0178,1,1,0,0,1,2,0,1,1,1.664,12.664,37.69,6.0,21.43,1,1,3,0,needs_support
STU-0180,1,0,1,0,1,1,0,0,1,1.208,7.708,22.09,4.0,14.29,0,0,4,1,needs_support
STU-0183,3,1,0,1,1,1,0,1,0,1.77,12.27,36.45,11.0,39.29,1,1,2,0,needs_support
STU-0185,1,0,0,1,1,1,1,0,0,1.208,8.208,23.66,4.0,14.29,0,0,4,1,needs_support
STU-0186,1,1,0,0,0,0,0,0,0,0.693,5.693,15.74,6.0,21.43,1,1,3,0,needs_support
STU-0187,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,1,needs_support
STU-0188,1,1,0,0,0,1,0,0,1,1.208,6.708,18.94,6.0,21.43,1,1,3,0,needs_support
STU-0189,1,0,0,1,1,1,0,0,1,1.208,5.708,15.79,4.0,14.29,0,0,4,1,needs_support
STU-0190,0,0,0,0,0,1,1,0,0,0.762,3.762,9.66,0.0,0.0,0,0,5,1,needs_support
STU-0191,1,0,0,1,1,0,0,0,0,0.693,4.693,12.59,4.0,14.29,0,0,4,1,needs_support
