startup_id,startup_name,sector,subsector,funding_stage,trl_level,founded_year,hq_city,team_size,pitch_summary,problem_statement,solution_summary,traction_signal,founder_count
STA00013,Kamdar Labs,AgriTech,Precision Farming,grant,4,2024,Mumbai,3,Post-harvest losses exceed 25% in perishable supply chains. Warehouse receipt financing using stored grain as collateral. Soil health card integration via government API.,Smallholder farmers receive 30% of consumer price for produce.,Satellite and drone imagery with ML pest-detection alerting farmers 10 days early.,TIDE 2.0 cohort member; 6-month pilot with state government.,4
STA00014,Kaul Tech,DeepTech,Robotics,bootstrapped,7,2024,Jaipur,29,Quality inspection on manufacturing lines misses 12% of defects using manual visual checks. Dialect-aware ASR model fine-tuned on 900 hours of regional audio. Patented dialect normalisation layer improving WER by 34%.,"Predictive maintenance alerts arrive after failure, not before.",Edge-deployed computer vision model for zero-defect PCB and textile inspection.,Self-funded; 80 clients; growing via word-of-mouth.,4
STA00015,Tiwari Tech,CyberSecurity,API Security,grant,2,2025,Hyderabad,5,Commercial rooftops capture less than 8% of viable solar potential. Edge-deployed computer vision model for zero-defect PCB and textile inspection. Soil health card integration via government API.,60% of MSMEs are rejected by formal credit channels due to thin credit files.,Industry-linked micro-credential programmes with guaranteed interviews.,AIM-iCREATE grant; product under regulatory review.,4
STA00016,Bala Tech,CyberSecurity,API Security,series-a,8,2022,Kochi,19,60% of chronic disease patients miss follow-up appointments. AI-based learning-gap detector embedded in existing school LMS. ABDM-compliant data layer ensuring regulatory fit.,Agricultural credit is unavailable without land-title collateral.,On-demand video therapy with licensed clinical psychologists.,"1,200 enterprise clients; expanding to 3 new states.",3
STA00017,Issac Platforms,BioTech,Bioinformatics,bootstrapped,4,2024,Delhi,17,Crop losses from pest infestation average 18% due to late detection. Affordable live-cohort JEE prep with AI-adaptive mock tests. Adaptive engine built on 4 years of proprietary learning-path data.,Commercial rooftops capture less than 8% of viable solar potential.,Satellite and drone imagery with ML pest-detection alerting farmers 10 days early.,Self-funded; 80 clients; growing via word-of-mouth.,2
STA00018,Saini Systems,RetailTech,AR Commerce,series-a,7,2022,Mumbai,26,Upskilling programmes have 70% dropout rates due to poor engagement. IoT energy-monitoring dashboard with ML anomaly detection for factories. Bureau-plus-alternative-data underwriting model with 3.2% NPA at 18 months.,Indian-language voice interfaces fail below 70% accuracy on regional dialects.,AI radiology assistant prioritising critical findings in chest X-rays within 30 seconds.,"1,200 enterprise clients; expanding to 3 new states.",4
STA00019,Kannan Solutions,HealthTech,Diagnostics,pre-seed,1,2026,Jaipur,2,Rural patients travel 80+ km for specialist consultations. Automated follow-up reminders via WhatsApp and IVR. Exclusive partnerships with 40 district hospitals.,Paper-based health records cause critical diagnostic delays.,Unified digital health record accessible across providers.,MVP in development; 15 design-partner interviews completed.,1
STA00020,Sen Innovations,HealthTech,Hospital Management,grant,2,2024,Delhi,6,Rural patients travel 80+ km for specialist consultations. On-demand video therapy with licensed clinical psychologists. Exclusive partnerships with 40 district hospitals.,Rural patients travel 80+ km for specialist consultations.,Automated follow-up reminders via WhatsApp and IVR.,AIM-iCREATE grant; product under regulatory review.,3
STA00021,Mall AI,LogisticsTech,Cold Chain,seed,3,2025,Bengaluru,32,60% of chronic disease patients miss follow-up appointments. Automated follow-up reminders via WhatsApp and IVR. Exclusive tie-up with 3 state warehousing corporations.,Mental health support is inaccessible in Tier-2 cities.,AI radiology assistant prioritising critical findings in chest X-rays within 30 seconds.,120 beta users; NPS score 68; waitlist of 400.,3
STA00022,Ahuja Ventures,RetailTech,D2C,grant,4,2025,Ahmedabad,6,Agricultural credit is unavailable without land-title collateral. Satellite and drone imagery with ML pest-detection alerting farmers 10 days early. Bureau-plus-alternative-data underwriting model with 3.2% NPA at 18 months.,Upskilling programmes have 70% dropout rates due to poor engagement.,Asset-light rooftop solar leasing model with zero upfront cost for SMEs.,BIRAC BIG grant recipient; prototype validation underway.,4
STA00023,Dutta Innovations,CleanTech,Solar Energy,seed,4,2023,Delhi,8,Industrial units lack real-time visibility into energy wastage. Asset-light rooftop solar leasing model with zero upfront cost for SMEs. Proprietary RDF quality-certification accepted by 4 cement majors.,Industrial units lack real-time visibility into energy wastage.,IoT energy-monitoring dashboard with ML anomaly detection for factories.,50 paying customers; ₹3L MRR growing 15% month-over-month.,4
STA00024,Sami Systems,HealthTech,Hospital Management,grant,5,2024,Pune,5,Mental health support is inaccessible in Tier-2 cities. Automated follow-up reminders via WhatsApp and IVR. Proprietary symptom-to-disease ML model trained on 2M Indian records.,60% of chronic disease patients miss follow-up appointments.,AI-powered triage chatbot triages patients before specialist consult.,TIDE 2.0 cohort member; 6-month pilot with state government.,3
STA00025,Oak Systems,EdTech,Higher Education,series-a,6,2021,Jaipur,10,"School teachers lack tools to identify slow learners early. Industry-linked micro-credential programmes with guaranteed interviews. Placement-outcome data from 8,000 alumni powering job-match algorithm.",College placement rates drop below 40% for non-metro engineering graduates.,Industry-linked micro-credential programmes with guaranteed interviews.,B2B SaaS with ₹3.8Cr ARR and 110% net revenue retention.,4
STA00026,Mall Tech,CyberSecurity,API Security,grant,3,2025,Jaipur,4,School teachers lack tools to identify slow learners early. Modular fast-charging hubs deployed at highway dhabas via franchise model. Exclusive tie-up with 3 state warehousing corporations.,College placement rates drop below 40% for non-metro engineering graduates.,Dialect-aware ASR model fine-tuned on 900 hours of regional audio.,BIRAC BIG grant recipient; prototype validation underway.,3
STA00027,Dugal Tech,HealthTech,Mental Health,bootstrapped,7,2025,Mumbai,15,60% of chronic disease patients miss follow-up appointments. AI-powered triage chatbot triages patients before specialist consult. WhatsApp-native UX requiring zero app download.,60% of chronic disease patients miss follow-up appointments.,AI-powered triage chatbot triages patients before specialist consult.,Bootstrap journey: ₹90L revenue in year 2; no debt.,3
STA00028,Kale Ventures,HealthTech,Hospital Management,pre-seed,3,2026,Jaipur,2,Paper-based health records cause critical diagnostic delays. On-demand video therapy with licensed clinical psychologists. WhatsApp-native UX requiring zero app download.,60% of chronic disease patients miss follow-up appointments.,On-demand video therapy with licensed clinical psychologists.,MVP in development; 15 design-partner interviews completed.,2
STA00029,Nayar AI,BioTech,AgBio,bootstrapped,6,2024,Kochi,23,"Gig workers have no access to micro-insurance products. Pay-per-use micro-insurance embedded at point of gig-work assignment. Placement-outcome data from 8,000 alumni powering job-match algorithm.","Predictive maintenance alerts arrive after failure, not before.",Vibration-sensor ML pipeline predicting motor failures 72 hours ahead.,Self-funded; 80 clients; growing via word-of-mouth.,4
STA00030,Chaudry AI,CyberSecurity,API Security,pre-seed,3,2026,Kochi,7,College placement rates drop below 40% for non-metro engineering graduates. Modular fast-charging hubs deployed at highway dhabas via franchise model. FAME-II subsidy pass-through reducing charger capex 40%.,First-generation learners cannot afford quality JEE/NEET coaching.,Industry-linked micro-credential programmes with guaranteed interviews.,Prototype demoed at college tech fest; 3 LOIs collected.,3
STA00031,Chanda Systems,BioTech,Bioinformatics,grant,4,2025,Kochi,6,Mental health support is inaccessible in Tier-2 cities. NBFC-backed savings and credit product distributed via SHGs. Adaptive engine built on 4 years of proprietary learning-path data.,Agricultural credit is unavailable without land-title collateral.,On-demand video therapy with licensed clinical psychologists.,TIDE 2.0 cohort member; 6-month pilot with state government.,2
STA00032,Rai Platforms,CleanTech,Water Tech,pre-seed,1,2026,Delhi,8,Industrial units lack real-time visibility into energy wastage. Modular fast-charging hubs deployed at highway dhabas via franchise model. DISCOM-agnostic net-metering integration across 9 states.,Industrial units lack real-time visibility into energy wastage.,Asset-light rooftop solar leasing model with zero upfront cost for SMEs.,Concept validated with 30 potential users via surveys.,1
STA00033,Chatterjee Labs,HealthTech,Hospital Management,grant,5,2025,Delhi,6,60% of chronic disease patients miss follow-up appointments. Unified digital health record accessible across providers. ABDM-compliant data layer ensuring regulatory fit.,60% of chronic disease patients miss follow-up appointments.,Automated follow-up reminders via WhatsApp and IVR.,AIM-iCREATE grant; product under regulatory review.,2
STA00034,Parmer Innovations,BioTech,Genomics,grant,3,2025,Kochi,5,Rural households lose 20% of savings to informal money lenders. Industry-linked micro-credential programmes with guaranteed interviews. Soil health card integration via government API.,"Municipal solid waste processing costs ₹1,800/tonne yet yields no revenue.",NBFC-backed savings and credit product distributed via SHGs.,TIDE 2.0 cohort member; 6-month pilot with state government.,4
STA00035,Padmanabhan Ventures,HealthTech,Wearables,pre-seed,1,2025,Delhi,7,Mental health support is inaccessible in Tier-2 cities. AI-powered triage chatbot triages patients before specialist consult. Exclusive partnerships with 40 district hospitals.,Rural patients travel 80+ km for specialist consultations.,Unified digital health record accessible across providers.,Problem validated; no paying customers yet.,1
STA00036,Lalla Platforms,HealthTech,Telemedicine,pre-seed,3,2025,Ahmedabad,7,Mental health support is inaccessible in Tier-2 cities. Unified digital health record accessible across providers. ABDM-compliant data layer ensuring regulatory fit.,60% of chronic disease patients miss follow-up appointments.,Unified digital health record accessible across providers.,MVP in development; 15 design-partner interviews completed.,2
STA00037,Bassi Tech,AgriTech,Market Linkage,series-a,7,2023,Pune,26,"Agricultural credit is unavailable without land-title collateral. Satellite and drone imagery with ML pest-detection alerting farmers 10 days early. Ground-truth crop-disease dataset from 12,000 farm visits.",Smallholder farmers receive 30% of consumer price for produce.,IoT-enabled cold-chain monitoring with real-time temperature alerts.,₹5Cr ARR; DPIIT-recognised startup; international pilots live.,4
STA00038,Sharaf Tech,GovTech,Public Health,seed,5,2023,Pune,20,Indian-language voice interfaces fail below 70% accuracy on regional dialects. AI radiology assistant prioritising critical findings in chest X-rays within 30 seconds. Proprietary RDF quality-certification accepted by 4 cement majors.,Crop losses from pest infestation average 18% due to late detection.,Waste-to-compost and RDF platform connecting municipalities with cement plants.,₹8L MRR; partnerships with 2 district hospitals signed.,2
STA00039,Yadav Solutions,CleanTech,Carbon Credits,pre-seed,3,2026,Pune,8,"Municipal solid waste processing costs ₹1,800/tonne yet yields no revenue. IoT energy-monitoring dashboard with ML anomaly detection for factories. DISCOM-agnostic net-metering integration across 9 states.",Industrial units lack real-time visibility into energy wastage.,IoT energy-monitoring dashboard with ML anomaly detection for factories.,Concept validated with 30 potential users via surveys.,1
STA00040,Dash Solutions,DeepTech,NLP,bootstrapped,6,2024,Mumbai,29,Quality inspection on manufacturing lines misses 12% of defects using manual visual checks. AI radiology assistant prioritising critical findings in chest X-rays within 30 seconds. Patented dialect normalisation layer improving WER by 34%.,Indian-language voice interfaces fail below 70% accuracy on regional dialects.,AI radiology assistant prioritising critical findings in chest X-rays within 30 seconds.,Self-funded; 80 clients; growing via word-of-mouth.,2
STA00041,Radhakrishnan Tech,BioTech,Bioinformatics,pre-seed,3,2026,Kochi,2,60% of chronic disease patients miss follow-up appointments. Dialect-aware ASR model fine-tuned on 900 hours of regional audio. Exclusive partnerships with 40 district hospitals.,Rural patients travel 80+ km for specialist consultations.,Satellite and drone imagery with ML pest-detection alerting farmers 10 days early.,Concept validated with 30 potential users via surveys.,1
STA00042,Brar Platforms,FinTech,Lending,bootstrapped,5,2023,Delhi,14,"B2B invoice settlement delays strangle MSME cash flow. Alternative credit scoring using GST, UPI, and utility payment history. Co-lending partnership with 2 scheduled commercial banks.",B2B invoice settlement delays strangle MSME cash flow.,Automated invoice discounting platform integrated with Tally and Zoho Books.,Self-funded; 80 clients; growing via word-of-mouth.,2
STA00043,Memon Systems,EdTech,Higher Education,pre-seed,1,2026,Coimbatore,8,College placement rates drop below 40% for non-metro engineering graduates. Affordable live-cohort JEE prep with AI-adaptive mock tests. Partnerships with 120 companies for direct hiring.,First-generation learners cannot afford quality JEE/NEET coaching.,Affordable live-cohort JEE prep with AI-adaptive mock tests.,Problem validated; no paying customers yet.,3
STA00044,Pathak AI,EdTech,Skill Development,bootstrapped,7,2024,Hyderabad,8,College placement rates drop below 40% for non-metro engineering graduates. AI-based learning-gap detector embedded in existing school LMS. Adaptive engine built on 4 years of proprietary learning-path data.,School teachers lack tools to identify slow learners early.,Affordable live-cohort JEE prep with AI-adaptive mock tests.,Profitable from month 8; ₹1.2Cr ARR; zero external funding.,3
STA00045,Handa Systems,HRTech,Employee Engagement,series-a,7,2023,Coimbatore,32,Quality inspection on manufacturing lines misses 12% of defects using manual visual checks. IoT energy-monitoring dashboard with ML anomaly detection for factories. Vernacular content library in 6 Indian languages.,Gig workers have no access to micro-insurance products.,NBFC-backed savings and credit product distributed via SHGs.,"1,200 enterprise clients; expanding to 3 new states.",3
STA00046,Boase Innovations,GovTech,Public Health,seed,3,2024,Delhi,8,Gig workers have no access to micro-insurance products. Unified digital health record accessible across providers. Physics-informed ML model reducing false-positive maintenance alerts by 60%.,Mental health support is inaccessible in Tier-2 cities.,AI-powered triage chatbot triages patients before specialist consult.,120 beta users; NPS score 68; waitlist of 400.,4
STA00047,Bath Platforms,FinTech,Wealth Management,grant,3,2024,Hyderabad,3,Rural households lose 20% of savings to informal money lenders. Automated invoice discounting platform integrated with Tally and Zoho Books. Bureau-plus-alternative-data underwriting model with 3.2% NPA at 18 months.,Rural households lose 20% of savings to informal money lenders.,"Alternative credit scoring using GST, UPI, and utility payment history.",AIM-iCREATE grant; product under regulatory review.,3
STA00048,Kari Solutions,CleanTech,EV Charging,bootstrapped,4,2025,Mumbai,31,EV charging deserts exist across National Highway corridors. IoT energy-monitoring dashboard with ML anomaly detection for factories. Proprietary RDF quality-certification accepted by 4 cement majors.,"Municipal solid waste processing costs ₹1,800/tonne yet yields no revenue.",Waste-to-compost and RDF platform connecting municipalities with cement plants.,Self-funded; 80 clients; growing via word-of-mouth.,2
STA00049,Mann Innovations,LogisticsTech,Freight Matching,pre-seed,3,2025,Delhi,8,"60% of chronic disease patients miss follow-up appointments. Waste-to-compost and RDF platform connecting municipalities with cement plants. Ground-truth crop-disease dataset from 12,000 farm visits.",Upskilling programmes have 70% dropout rates due to poor engagement.,Satellite and drone imagery with ML pest-detection alerting farmers 10 days early.,Concept validated with 30 potential users via surveys.,3
STA00050,Buch Platforms,EdTech,Higher Education,grant,3,2024,Mumbai,5,First-generation learners cannot afford quality JEE/NEET coaching. Affordable live-cohort JEE prep with AI-adaptive mock tests. Vernacular content library in 6 Indian languages.,College placement rates drop below 40% for non-metro engineering graduates.,AI-based learning-gap detector embedded in existing school LMS.,BIRAC BIG grant recipient; prototype validation underway.,3
STA00051,Kaul Systems,FinTech,Lending,grant,5,2025,Hyderabad,3,"Rural households lose 20% of savings to informal money lenders. Alternative credit scoring using GST, UPI, and utility payment history. Insurance regulator (IRDAI) sandbox approval for micro-insurance product.",Rural households lose 20% of savings to informal money lenders.,"Alternative credit scoring using GST, UPI, and utility payment history.",TIDE 2.0 cohort member; 6-month pilot with state government.,3
STA00052,Chaudhuri AI,BioTech,AgBio,pre-seed,3,2025,Pune,2,Commercial rooftops capture less than 8% of viable solar potential. Gamified skill tracks with peer accountability pods. Vernacular content library in 6 Indian languages.,"Municipal solid waste processing costs ₹1,800/tonne yet yields no revenue.",NBFC-backed savings and credit product distributed via SHGs.,Problem validated; no paying customers yet.,2
STA00053,Rai Systems,FinTech,Payments,pre-seed,2,2025,Coimbatore,4,60% of MSMEs are rejected by formal credit channels due to thin credit files. NBFC-backed savings and credit product distributed via SHGs. Bureau-plus-alternative-data underwriting model with 3.2% NPA at 18 months.,B2B invoice settlement delays strangle MSME cash flow.,Automated invoice discounting platform integrated with Tally and Zoho Books.,Prototype demoed at college tech fest; 3 LOIs collected.,1
STA00054,Mall AI,AgriTech,Crop Insurance,pre-seed,3,2026,Jaipur,4,Smallholder farmers receive 30% of consumer price for produce. FPO-linked direct market platform eliminating 3 layers of commission agents. Exclusive tie-up with 3 state warehousing corporations.,Crop losses from pest infestation average 18% due to late detection.,FPO-linked direct market platform eliminating 3 layers of commission agents.,Problem validated; no paying customers yet.,2
STA00055,Setty Ventures,GovTech,Smart City,grant,2,2025,Pune,2,Upskilling programmes have 70% dropout rates due to poor engagement. Asset-light rooftop solar leasing model with zero upfront cost for SMEs. Adaptive engine built on 4 years of proprietary learning-path data.,Crop losses from pest infestation average 18% due to late detection.,IoT-enabled cold-chain monitoring with real-time temperature alerts.,BIRAC BIG grant recipient; prototype validation underway.,2
STA00056,Patla Systems,EdTech,K-12 Tutoring,seed,4,2024,Mumbai,20,Upskilling programmes have 70% dropout rates due to poor engagement. AI-based learning-gap detector embedded in existing school LMS. Partnerships with 120 companies for direct hiring.,First-generation learners cannot afford quality JEE/NEET coaching.,Affordable live-cohort JEE prep with AI-adaptive mock tests.,Pilot live with 2 SME clients; 92% retention over 3 months.,2
STA00057,Gaba Solutions,FinTech,Payments,pre-seed,1,2025,Pune,5,B2B invoice settlement delays strangle MSME cash flow. Automated invoice discounting platform integrated with Tally and Zoho Books. Bureau-plus-alternative-data underwriting model with 3.2% NPA at 18 months.,60% of MSMEs are rejected by formal credit channels due to thin credit files.,NBFC-backed savings and credit product distributed via SHGs.,Problem validated; no paying customers yet.,3
STA00058,Prabhakar Labs,AgriTech,Soil Analytics,series-a,7,2023,Mumbai,24,"Agricultural credit is unavailable without land-title collateral. Warehouse receipt financing using stored grain as collateral. Ground-truth crop-disease dataset from 12,000 farm visits.",Agricultural credit is unavailable without land-title collateral.,Satellite and drone imagery with ML pest-detection alerting farmers 10 days early.,"1,200 enterprise clients; expanding to 3 new states.",2
STA00059,Pant Systems,BioTech,AgBio,bootstrapped,7,2025,Kochi,18,Mental health support is inaccessible in Tier-2 cities. IoT-enabled cold-chain monitoring with real-time temperature alerts. FAME-II subsidy pass-through reducing charger capex 40%.,Quality inspection on manufacturing lines misses 12% of defects using manual visual checks.,Dialect-aware ASR model fine-tuned on 900 hours of regional audio.,Self-funded; 80 clients; growing via word-of-mouth.,3
STA00060,Kadakia Innovations,AgriTech,Precision Farming,pre-seed,1,2026,Bengaluru,4,Post-harvest losses exceed 25% in perishable supply chains. IoT-enabled cold-chain monitoring with real-time temperature alerts. Last-mile network of 200 village-level tech entrepreneurs.,Agricultural credit is unavailable without land-title collateral.,FPO-linked direct market platform eliminating 3 layers of commission agents.,Problem validated; no paying customers yet.,1
STA00061,Loke Innovations,GovTech,e-Governance,series-a,8,2024,Jaipur,34,School teachers lack tools to identify slow learners early. IoT-enabled cold-chain monitoring with real-time temperature alerts. Insurance regulator (IRDAI) sandbox approval for micro-insurance product.,60% of chronic disease patients miss follow-up appointments.,FPO-linked direct market platform eliminating 3 layers of commission agents.,₹2.4Cr ARR; 30-member team; Series A of ₹12Cr closed.,4
STA00062,Bora Tech,FinTech,Insurance Tech,bootstrapped,5,2022,Ahmedabad,7,Rural households lose 20% of savings to informal money lenders. Pay-per-use micro-insurance embedded at point of gig-work assignment. Co-lending partnership with 2 scheduled commercial banks.,Rural households lose 20% of savings to informal money lenders.,Automated invoice discounting platform integrated with Tally and Zoho Books.,Founder-funded through consulting revenue; now product-led.,2
STA00063,Garg AI,DeepTech,Robotics,pre-seed,2,2026,Chennai,6,"Predictive maintenance alerts arrive after failure, not before. Vibration-sensor ML pipeline predicting motor failures 72 hours ahead. Physics-informed ML model reducing false-positive maintenance alerts by 60%.",Quality inspection on manufacturing lines misses 12% of defects using manual visual checks.,AI radiology assistant prioritising critical findings in chest X-rays within 30 seconds.,MVP in development; 15 design-partner interviews completed.,3
STA00064,Walla AI,GovTech,Smart City,series-a,8,2022,Ahmedabad,10,"Medical imaging diagnosis queues in public hospitals average 11 days. Alternative credit scoring using GST, UPI, and utility payment history. CDSCO medical device registration in progress; CE mark filed.","Municipal solid waste processing costs ₹1,800/tonne yet yields no revenue.",Industry-linked micro-credential programmes with guaranteed interviews.,₹5Cr ARR; DPIIT-recognised startup; international pilots live.,3
STA00065,Konda Systems,CleanTech,EV Charging,seed,5,2025,Coimbatore,34,"Municipal solid waste processing costs ₹1,800/tonne yet yields no revenue. Modular fast-charging hubs deployed at highway dhabas via franchise model. Energy-savings performance contract with guaranteed ROI.",EV charging deserts exist across National Highway corridors.,Waste-to-compost and RDF platform connecting municipalities with cement plants.,Pilot live with 2 SME clients; 92% retention over 3 months.,4
STA00066,Gade AI,HealthTech,Telemedicine,bootstrapped,7,2023,Bengaluru,34,60% of chronic disease patients miss follow-up appointments. Unified digital health record accessible across providers. ABDM-compliant data layer ensuring regulatory fit.,60% of chronic disease patients miss follow-up appointments.,Automated follow-up reminders via WhatsApp and IVR.,Founder-funded through consulting revenue; now product-led.,2
STA00067,Shere Labs,FinTech,Credit Scoring,seed,4,2025,Ahmedabad,35,"B2B invoice settlement delays strangle MSME cash flow. Alternative credit scoring using GST, UPI, and utility payment history. Real-time GST data integration via NIC API.",B2B invoice settlement delays strangle MSME cash flow.,"Alternative credit scoring using GST, UPI, and utility payment history.",50 paying customers; ₹3L MRR growing 15% month-over-month.,2
STA00068,Raghavan Tech,GovTech,Digital Identity,grant,5,2025,Mumbai,8,Agricultural credit is unavailable without land-title collateral. NBFC-backed savings and credit product distributed via SHGs. Proprietary RDF quality-certification accepted by 4 cement majors.,Industrial units lack real-time visibility into energy wastage.,IoT energy-monitoring dashboard with ML anomaly detection for factories.,AIM-iCREATE grant; product under regulatory review.,3
STA00069,Madan Innovations,DeepTech,Computer Vision,seed,3,2025,Kochi,30,Indian-language voice interfaces fail below 70% accuracy on regional dialects. Dialect-aware ASR model fine-tuned on 900 hours of regional audio. Patented dialect normalisation layer improving WER by 34%.,Quality inspection on manufacturing lines misses 12% of defects using manual visual checks.,AI radiology assistant prioritising critical findings in chest X-rays within 30 seconds.,120 beta users; NPS score 68; waitlist of 400.,3
STA00070,Kanda Ventures,LogisticsTech,Warehouse Automation,pre-seed,3,2025,Mumbai,6,"Predictive maintenance alerts arrive after failure, not before. Pay-per-use micro-insurance embedded at point of gig-work assignment. Physics-informed ML model reducing false-positive maintenance alerts by 60%.",Indian-language voice interfaces fail below 70% accuracy on regional dialects.,Unified digital health record accessible across providers.,Problem validated; no paying customers yet.,3
STA00071,Nair Systems,HealthTech,Mental Health,seed,3,2023,Jaipur,7,60% of chronic disease patients miss follow-up appointments. On-demand video therapy with licensed clinical psychologists. WhatsApp-native UX requiring zero app download.,Rural patients travel 80+ km for specialist consultations.,Automated follow-up reminders via WhatsApp and IVR.,Pilot live with 2 SME clients; 92% retention over 3 months.,2
STA00072,Bhalla Innovations,GovTech,Public Health,grant,2,2024,Delhi,2,60% of chronic disease patients miss follow-up appointments. Automated follow-up reminders via WhatsApp and IVR. Exclusive partnerships with 40 district hospitals.,College placement rates drop below 40% for non-metro engineering graduates.,"Alternative credit scoring using GST, UPI, and utility payment history.",BIRAC BIG grant recipient; prototype validation underway.,2
STA00073,Karnik Labs,FinTech,Wealth Management,series-a,8,2023,Pune,27,"Rural households lose 20% of savings to informal money lenders. Alternative credit scoring using GST, UPI, and utility payment history. Insurance regulator (IRDAI) sandbox approval for micro-insurance product.",60% of MSMEs are rejected by formal credit channels due to thin credit files.,"Alternative credit scoring using GST, UPI, and utility payment history.",₹2.4Cr ARR; 30-member team; Series A of ₹12Cr closed.,4
