competition_id,profile_id,competition_name,competition_type,year,participation_role,result,team_size,theme,competition_tier
CMP00022,STU-0126,Kerala Startup Mission Demo Day,hackathon,2021,participant,Participated,1,EdTech & Skill Development,B
CMP00023,STU-0205,NIDHI Prayas Demo Day,product_showcase,2023,finalist,National finalist,2,Smart Cities & GovTech,B
CMP00024,STU-0165,TOYCATHON,design_sprint,2022,winner,3rd Place,2,Cybersecurity,A
CMP00025,STU-0014,NASA Space Apps Challenge,hackathon,2025,participant,Participated,5,Cybersecurity,S
CMP00026,STU-0126,NASA Space Apps Challenge,ideathon,2024,participant,Participated,1,CleanTech & Sustainability,S
CMP00027,ALU-0004,NIDHI Prayas Demo Day,demo_day,2019,finalist,Top 5 finalist,1,FinTech & Financial Inclusion,B
CMP00028,ALU-0069,Anna University Innovation Challenge,demo_day,2024,organizer,Coordinated 3 tracks; 200 teams,0,EdTech & Skill Development,C
CMP00029,STU-0010,Microsoft Imagine Cup,ideathon,2024,participant,Participated,2,Smart Cities & GovTech,A
CMP00030,STU-0275,NASA Space Apps Challenge,startup_pitch,2025,participant,Shortlisted in top 50,3,FinTech & Financial Inclusion,S
CMP00031,ALU-0168,NIDHI Prayas Demo Day,product_showcase,2022,participant,Shortlisted in top 50,4,Deep Tech & AI/ML,B
CMP00032,STU-0116,Microsoft Imagine Cup,ideathon,2024,finalist,Top 10 finalist,1,FinTech & Financial Inclusion,A
CMP00033,ALU-0195,National Entrepreneurship Challenge (IIT Bombay),ideathon,2022,participant,Completed submission,2,Women Empowerment & Social Impact,C
CMP00034,STU-0030,Microsoft Imagine Cup,demo_day,2022,participant,Shortlisted in top 50,1,Deep Tech & AI/ML,A
CMP00035,STU-0268,Anna University Innovation Challenge,hackathon,2024,participant,Participated,5,Women Empowerment & Social Impact,C
CMP00036,ALU-0047,Vernacular AI Hackathon by AI4Bharat,design_sprint,2024,winner,2nd Place,5,EdTech & Skill Development,B
CMP00037,STU-0255,India Innovation Challenge Design Contest,startup_pitch,2024,participant,Completed submission,4,FinTech & Financial Inclusion,A
CMP00038,STU-0056,Smart India Hackathon,ideathon,2020,winner,Special Jury Prize,5,Cybersecurity,A
CMP00039,STU-0077,India Innovation Challenge Design Contest,startup_pitch,2020,organizer,Organised successfully; 400+ participants,0,Smart Cities & GovTech,A
CMP00040,ALU-0051,CII Young Indians Innovation Challenge,design_sprint,2024,mentor_judge,Evaluated 30 teams as domain expert judge,0,Deep Tech & AI/ML,B
CMP00041,STU-0081,Sequoia Surge Campus Pitch,demo_day,2025,participant,Participated,5,Cybersecurity,B
CMP00042,ALU-0158,Anna University Innovation Challenge,hackathon,2022,participant,Shortlisted in top 50,1,EdTech & Skill Development,C
CMP00043,STU-0017,BIRAC BIG Grant Pitching Forum,hackathon,2025,participant,Participated,1,Women Empowerment & Social Impact,B
CMP00044,STU-0058,BIRAC BIG Grant Pitching Forum,innovation_challenge,2024,mentor_judge,Mentored 5 finalist teams,0,Cybersecurity,B
CMP00045,STU-0056,CII Young Indians Innovation Challenge,product_showcase,2022,mentor_judge,Mentored 5 finalist teams,0,Smart Cities & GovTech,B
CMP00046,ALU-0185,IIT Madras Shaastra Hackathon,ideathon,2022,finalist,National finalist,1,EdTech & Skill Development,C
CMP00047,STU-0003,Anna University Innovation Challenge,startup_pitch,2025,winner,2nd Place,3,Logistics & Supply Chain,C
CMP00048,STU-0109,TOYCATHON,innovation_challenge,2022,finalist,National finalist,2,Deep Tech & AI/ML,A
CMP00049,STU-0201,TiE Entrepreneurial Challenge,hackathon,2025,participant,Completed submission,4,AgriTech & Rural Development,B
CMP00050,ALU-0047,Google Solution Challenge,product_showcase,2022,finalist,Top 10 finalist,1,Women Empowerment & Social Impact,A
CMP00051,ALU-0169,National Entrepreneurship Challenge (IIT Bombay),design_sprint,2020,participant,Shortlisted in top 50,4,Healthcare & MedTech,C
CMP00052,STU-0053,T-Hub LabStart Cohort,product_showcase,2023,finalist,Top 10 finalist,4,Logistics & Supply Chain,C
CMP00053,STU-0178,Microsoft Imagine Cup,hackathon,2022,winner,2nd Place,5,Women Empowerment & Social Impact,A
CMP00054,ALU-0129,Kerala Startup Mission Demo Day,ideathon,2025,organizer,Coordinated 3 tracks; 200 teams,0,AgriTech & Rural Development,B
CMP00055,ALU-0002,Sequoia Surge Campus Pitch,product_showcase,2020,participant,Shortlisted in top 50,2,Deep Tech & AI/ML,B
CMP00056,STU-0115,IIM Ahmedabad Eureka!,product_showcase,2024,finalist,National finalist,5,Smart Cities & GovTech,B
CMP00057,STU-0223,TiE Entrepreneurial Challenge,innovation_challenge,2023,winner,Special Jury Prize,3,Smart Cities & GovTech,B
CMP00058,STU-0183,Vernacular AI Hackathon by AI4Bharat,design_sprint,2024,organizer,Organised successfully; 400+ participants,0,Smart Cities & GovTech,B
CMP00059,ALU-0130,India Innovation Challenge Design Contest,design_sprint,2023,winner,3rd Place,4,Logistics & Supply Chain,A
CMP00060,STU-0014,Vernacular AI Hackathon by AI4Bharat,hackathon,2019,participant,Shortlisted in top 50,4,FinTech & Financial Inclusion,B
CMP00061,STU-0205,NIDHI Prayas Demo Day,product_showcase,2025,participant,Participated,2,CleanTech & Sustainability,B
CMP00062,STU-0064,IIM Ahmedabad Eureka!,innovation_challenge,2025,finalist,Top 10 finalist,5,Healthcare & MedTech,B
CMP00063,STU-0105,Kerala Startup Mission Demo Day,product_showcase,2024,participant,Shortlisted in top 50,5,AgriTech & Rural Development,B
CMP00064,ALU-0099,CII Young Indians Innovation Challenge,design_sprint,2025,winner,Special Jury Prize,3,Healthcare & MedTech,B
CMP00065,ALU-0127,Anna University Innovation Challenge,design_sprint,2019,organizer,Coordinated 3 tracks; 200 teams,0,Healthcare & MedTech,C
CMP00066,ALU-0154,CII Young Indians Innovation Challenge,ideathon,2024,winner,2nd Place,3,Women Empowerment & Social Impact,B
CMP00067,STU-0202,TiE Entrepreneurial Challenge,startup_pitch,2022,finalist,National finalist,2,EdTech & Skill Development,B
CMP00068,STU-0053,Google Solution Challenge,demo_day,2019,participant,Participated,4,CleanTech & Sustainability,A
CMP00069,STU-0165,National Entrepreneurship Challenge (IIT Bombay),product_showcase,2021,finalist,Top 10 finalist,1,Smart Cities & GovTech,C
CMP00070,STU-0041,Microsoft Imagine Cup,startup_pitch,2023,finalist,Top 10 finalist,1,Women Empowerment & Social Impact,A
CMP00071,STU-0141,National Entrepreneurship Challenge (IIT Bombay),design_sprint,2021,winner,3rd Place,1,Smart Cities & GovTech,B
CMP00072,ALU-0056,NASA Space Apps Challenge,product_showcase,2023,finalist,Top 10 finalist,2,Deep Tech & AI/ML,S
CMP00073,STU-0095,IIT Madras Shaastra Hackathon,innovation_challenge,2020,finalist,Top 5 finalist,3,Smart Cities & GovTech,C
CMP00074,STU-0126,India Innovation Challenge Design Contest,design_sprint,2025,participant,Participated,1,EdTech & Skill Development,A
CMP00075,STU-0247,Kerala Startup Mission Demo Day,design_sprint,2020,finalist,Top 5 finalist,1,Smart Cities & GovTech,B
CMP00076,ALU-0096,NIDHI Prayas Demo Day,design_sprint,2024,participant,Participated,3,Healthcare & MedTech,B
CMP00077,STU-0053,Vernacular AI Hackathon by AI4Bharat,demo_day,2022,organizer,Coordinated 3 tracks; 200 teams,0,Healthcare & MedTech,B
CMP00078,STU-0198,Anna University Innovation Challenge,design_sprint,2019,participant,Completed submission,1,FinTech & Financial Inclusion,C
CMP00079,STU-0068,TiE Entrepreneurial Challenge,ideathon,2024,mentor_judge,Evaluated 30 teams as domain expert judge,0,AgriTech & Rural Development,B
CMP00080,STU-0107,TiE Entrepreneurial Challenge,design_sprint,2025,organizer,Coordinated 3 tracks; 200 teams,0,Deep Tech & AI/ML,B
CMP00081,STU-0158,Smart India Hackathon,demo_day,2024,finalist,Top 10 finalist,3,Healthcare & MedTech,A
CMP00082,STU-0183,NIDHI Prayas Demo Day,design_sprint,2019,participant,Participated,5,AgriTech & Rural Development,B
CMP00083,ALU-0098,Sequoia Surge Campus Pitch,ideathon,2022,organizer,Coordinated 3 tracks; 200 teams,0,Deep Tech & AI/ML,B
CMP00084,STU-0122,BIRAC BIG Grant Pitching Forum,hackathon,2024,participant,Shortlisted in top 50,5,EdTech & Skill Development,D
CMP00085,STU-0047,NASA Space Apps Challenge,startup_pitch,2023,winner,Special Jury Prize,1,CleanTech & Sustainability,S
CMP00086,STU-0089,IIM Ahmedabad Eureka!,product_showcase,2022,winner,3rd Place,4,Deep Tech & AI/ML,B
CMP00087,ALU-0186,NASSCOM 10K Startups,design_sprint,2020,winner,1st Place,2,Deep Tech & AI/ML,B
CMP00088,ALU-0003,Microsoft Imagine Cup,startup_pitch,2024,winner,Special Jury Prize,3,Healthcare & MedTech,A
CMP00089,STU-0145,Google Solution Challenge,hackathon,2019,finalist,National finalist,5,Women Empowerment & Social Impact,A
CMP00090,STU-0088,IIM Ahmedabad Eureka!,innovation_challenge,2024,participant,Completed submission,3,AgriTech & Rural Development,B
CMP00091,STU-0115,Microsoft Imagine Cup,innovation_challenge,2020,participant,Completed submission,2,Women Empowerment & Social Impact,A
CMP00092,STU-0118,NASSCOM 10K Startups,ideathon,2025,winner,2nd Place,5,Healthcare & MedTech,B
CMP00093,STU-0141,NASA Space Apps Challenge,startup_pitch,2024,organizer,Coordinated 3 tracks; 200 teams,0,EdTech & Skill Development,S
CMP00094,ALU-0199,Anna University Innovation Challenge,startup_pitch,2020,participant,Participated,2,EdTech & Skill Development,C
CMP00095,STU-0199,Anna University Innovation Challenge,demo_day,2022,participant,Participated,3,Women Empowerment & Social Impact,C
CMP00096,STU-0157,National Entrepreneurship Challenge (IIT Bombay),design_sprint,2021,finalist,National finalist,3,Deep Tech & AI/ML,C
CMP00097,STU-0253,CII Young Indians Innovation Challenge,ideathon,2024,participant,Shortlisted in top 50,4,CleanTech & Sustainability,B
CMP00098,ALU-0040,India Innovation Challenge Design Contest,demo_day,2022,winner,2nd Place,3,CleanTech & Sustainability,A
CMP00099,STU-0180,Kerala Startup Mission Demo Day,hackathon,2025,finalist,Top 10 finalist,3,FinTech & Financial Inclusion,B
CMP00100,STU-0270,NASA Space Apps Challenge,ideathon,2019,organizer,Organised successfully; 400+ participants,0,Healthcare & MedTech,S
CMP00101,ALU-0115,National Entrepreneurship Challenge (IIT Bombay),innovation_challenge,2019,winner,1st Place,5,CleanTech & Sustainability,S
CMP00102,ALU-0184,Microsoft Imagine Cup,startup_pitch,2022,finalist,National finalist,2,Women Empowerment & Social Impact,A
CMP00103,STU-0138,Sequoia Surge Campus Pitch,design_sprint,2023,winner,3rd Place,1,Deep Tech & AI/ML,B
CMP00104,STU-0245,Kerala Startup Mission Demo Day,ideathon,2020,participant,Participated,5,FinTech & Financial Inclusion,B
CMP00105,ALU-0051,National Entrepreneurship Challenge (IIT Bombay),ideathon,2025,participant,Participated,2,Cybersecurity,B
CMP00106,STU-0225,India Innovation Challenge Design Contest,innovation_challenge,2019,mentor_judge,Evaluated 30 teams as domain expert judge,0,CleanTech & Sustainability,A
CMP00107,STU-0212,Vernacular AI Hackathon by AI4Bharat,product_showcase,2021,participant,Participated,4,Cybersecurity,B
CMP00108,STU-0041,Anna University Innovation Challenge,hackathon,2024,organizer,Organised successfully; 400+ participants,0,Logistics & Supply Chain,C
CMP00109,STU-0270,National Entrepreneurship Challenge (IIT Bombay),design_sprint,2023,finalist,Top 5 finalist,2,Deep Tech & AI/ML,C
CMP00110,STU-0080,Vernacular AI Hackathon by AI4Bharat,startup_pitch,2022,finalist,Top 5 finalist,2,Logistics & Supply Chain,B
CMP00111,ALU-0199,India Innovation Challenge Design Contest,design_sprint,2019,participant,Shortlisted in top 50,5,FinTech & Financial Inclusion,A
CMP00112,STU-0079,Vernacular AI Hackathon by AI4Bharat,ideathon,2021,participant,Participated,2,FinTech & Financial Inclusion,B
CMP00113,STU-0122,CII Young Indians Innovation Challenge,demo_day,2025,participant,Shortlisted in top 50,3,EdTech & Skill Development,B
CMP00114,ALU-0191,TiE Entrepreneurial Challenge,design_sprint,2020,finalist,Top 5 finalist,4,Healthcare & MedTech,B
CMP00115,STU-0165,Microsoft Imagine Cup,ideathon,2023,participant,Participated,1,Women Empowerment & Social Impact,A
CMP00116,STU-0265,NASSCOM 10K Startups,design_sprint,2022,participant,Participated,5,Women Empowerment & Social Impact,B
CMP00117,STU-0291,NASA Space Apps Challenge,innovation_challenge,2022,finalist,National finalist,5,Cybersecurity,S
CMP00118,STU-0225,T-Hub LabStart Cohort,design_sprint,2020,organizer,Organised successfully; 400+ participants,0,Women Empowerment & Social Impact,C
CMP00119,STU-0126,NIDHI Prayas Demo Day,innovation_challenge,2024,winner,2nd Place,3,Cybersecurity,B
CMP00120,STU-0236,Startup Tamil Nadu Ideathon,demo_day,2020,finalist,Top 10 finalist,1,Healthcare & MedTech,C
CMP00121,ALU-0130,Microsoft Imagine Cup,design_sprint,2019,participant,Completed submission,2,Cybersecurity,A
CMP00122,STU-0115,Vernacular AI Hackathon by AI4Bharat,product_showcase,2019,organizer,Organised successfully; 400+ participants,0,EdTech & Skill Development,B
CMP00123,ALU-0024,Smart India Hackathon,product_showcase,2024,finalist,Top 10 finalist,4,Logistics & Supply Chain,A
CMP00124,STU-0141,T-Hub LabStart Cohort,innovation_challenge,2025,participant,Participated,4,Deep Tech & AI/ML,C
CMP00125,STU-0101,T-Hub LabStart Cohort,innovation_challenge,2021,participant,Completed submission,4,AgriTech & Rural Development,C
CMP00126,STU-0291,Kerala Startup Mission Demo Day,design_sprint,2022,organizer,Organised successfully; 400+ participants,0,CleanTech & Sustainability,B
CMP00127,STU-0008,National Entrepreneurship Challenge (IIT Bombay),design_sprint,2019,participant,Completed submission,5,Healthcare & MedTech,S
CMP00128,ALU-0024,T-Hub LabStart Cohort,startup_pitch,2019,participant,Participated,2,Deep Tech & AI/ML,C
CMP00129,STU-0268,BIRAC BIG Grant Pitching Forum,demo_day,2023,finalist,Top 5 finalist,3,Women Empowerment & Social Impact,D
CMP00130,ALU-0107,TiE Entrepreneurial Challenge,demo_day,2023,participant,Completed submission,5,Cybersecurity,B
CMP00131,STU-0045,India Innovation Challenge Design Contest,startup_pitch,2021,participant,Completed submission,5,Smart Cities & GovTech,A
CMP00132,STU-0142,Google Solution Challenge,ideathon,2020,winner,Best Innovation Award,4,FinTech & Financial Inclusion,A
CMP00133,ALU-0111,Anna University Innovation Challenge,product_showcase,2023,participant,Completed submission,5,Healthcare & MedTech,C
CMP00134,STU-0006,NASA Space Apps Challenge,product_showcase,2020,participant,Completed submission,4,Women Empowerment & Social Impact,S
CMP00135,STU-0270,CII Young Indians Innovation Challenge,startup_pitch,2019,participant,Participated,5,Healthcare & MedTech,B
CMP00136,ALU-0056,IIM Ahmedabad Eureka!,ideathon,2023,winner,Best Innovation Award,1,FinTech & Financial Inclusion,B
CMP00137,STU-0011,TiE Entrepreneurial Challenge,product_showcase,2024,finalist,Top 5 finalist,5,CleanTech & Sustainability,B
CMP00138,STU-0141,Vernacular AI Hackathon by AI4Bharat,ideathon,2020,participant,Completed submission,5,FinTech & Financial Inclusion,B
CMP00139,STU-0245,Smart India Hackathon,innovation_challenge,2019,finalist,Top 5 finalist,3,Deep Tech & AI/ML,A
CMP00140,ALU-0116,National Entrepreneurship Challenge (IIT Bombay),innovation_challenge,2023,participant,Shortlisted in top 50,1,EdTech & Skill Development,B
CMP00141,ALU-0024,National Entrepreneurship Challenge (IIT Bombay),startup_pitch,2021,organizer,Coordinated 3 tracks; 200 teams,0,CleanTech & Sustainability,C
CMP00142,ALU-0166,Startup Tamil Nadu Ideathon,design_sprint,2019,participant,Participated,3,FinTech & Financial Inclusion,C
CMP00143,ALU-0024,NASA Space Apps Challenge,design_sprint,2021,participant,Participated,3,EdTech & Skill Development,S
CMP00144,STU-0017,National Entrepreneurship Challenge (IIT Bombay),startup_pitch,2024,winner,3rd Place,4,Deep Tech & AI/ML,D
CMP00145,ALU-0048,Sequoia Surge Campus Pitch,ideathon,2022,finalist,Top 10 finalist,5,Healthcare & MedTech,B
CMP00146,STU-0070,Startup Tamil Nadu Ideathon,ideathon,2025,finalist,Top 5 finalist,2,AgriTech & Rural Development,C
CMP00147,ALU-0062,Vernacular AI Hackathon by AI4Bharat,design_sprint,2019,winner,Best Innovation Award,3,AgriTech & Rural Development,B
CMP00148,ALU-0051,NASA Space Apps Challenge,design_sprint,2020,participant,Shortlisted in top 50,4,Smart Cities & GovTech,S
CMP00149,STU-0276,NASSCOM 10K Startups,ideathon,2024,participant,Completed submission,2,Cybersecurity,B
CMP00150,STU-0248,NIDHI Prayas Demo Day,innovation_challenge,2020,winner,2nd Place,2,AgriTech & Rural Development,B
CMP00151,STU-0160,Google Solution Challenge,hackathon,2019,winner,3rd Place,4,Women Empowerment & Social Impact,A
CMP00152,STU-0044,India Innovation Challenge Design Contest,startup_pitch,2023,participant,Completed submission,3,Cybersecurity,A
CMP00153,STU-0141,NASSCOM 10K Startups,product_showcase,2023,organizer,Coordinated 3 tracks; 200 teams,0,CleanTech & Sustainability,B
CMP00154,STU-0132,TOYCATHON,design_sprint,2025,participant,Completed submission,4,Cybersecurity,A
CMP00155,ALU-0060,IIT Madras Shaastra Hackathon,demo_day,2025,mentor_judge,Evaluated 30 teams as domain expert judge,0,FinTech & Financial Inclusion,C
CMP00156,STU-0017,Sequoia Surge Campus Pitch,startup_pitch,2024,finalist,Top 10 finalist,1,Healthcare & MedTech,B
CMP00157,STU-0104,Anna University Innovation Challenge,startup_pitch,2023,finalist,Top 5 finalist,3,FinTech & Financial Inclusion,C
CMP00158,STU-0276,India Innovation Challenge Design Contest,design_sprint,2021,finalist,Top 10 finalist,3,FinTech & Financial Inclusion,A
CMP00159,ALU-0130,IIT Madras Shaastra Hackathon,startup_pitch,2025,finalist,Top 10 finalist,4,CleanTech & Sustainability,C
CMP00160,STU-0135,National Entrepreneurship Challenge (IIT Bombay),ideathon,2020,finalist,National finalist,1,CleanTech & Sustainability,B
CMP00161,ALU-0143,Startup Tamil Nadu Ideathon,innovation_challenge,2020,winner,Special Jury Prize,2,Cybersecurity,C
CMP00162,ALU-0132,India Innovation Challenge Design Contest,innovation_challenge,2025,winner,2nd Place,5,Logistics & Supply Chain,A
CMP00163,ALU-0008,NIDHI Prayas Demo Day,design_sprint,2025,winner,Best Innovation Award,5,Healthcare & MedTech,B
CMP00164,STU-0168,TOYCATHON,innovation_challenge,2025,participant,Completed submission,3,Cybersecurity,A
CMP00165,ALU-0161,Anna University Innovation Challenge,startup_pitch,2021,winner,1st Place,3,Logistics & Supply Chain,C
CMP00166,ALU-0053,Smart India Hackathon,demo_day,2019,finalist,Top 5 finalist,3,Women Empowerment & Social Impact,A
CMP00167,STU-0016,NASSCOM 10K Startups,product_showcase,2021,participant,Completed submission,3,Smart Cities & GovTech,B
CMP00168,ALU-0158,NASA Space Apps Challenge,demo_day,2023,finalist,Top 5 finalist,3,Cybersecurity,S
CMP00169,STU-0172,Anna University Innovation Challenge,demo_day,2024,finalist,Top 10 finalist,5,Women Empowerment & Social Impact,C
CMP00170,STU-0082,NASSCOM 10K Startups,startup_pitch,2020,participant,Participated,3,Smart Cities & GovTech,B
CMP00171,STU-0274,Kerala Startup Mission Demo Day,ideathon,2022,finalist,National finalist,3,Cybersecurity,B
CMP00172,ALU-0056,Sequoia Surge Campus Pitch,demo_day,2020,winner,3rd Place,2,Healthcare & MedTech,B
CMP00173,STU-0258,NASA Space Apps Challenge,innovation_challenge,2020,participant,Participated,4,EdTech & Skill Development,S
CMP00174,STU-0013,TOYCATHON,hackathon,2025,participant,Shortlisted in top 50,4,Logistics & Supply Chain,A
CMP00175,STU-0107,NIDHI Prayas Demo Day,design_sprint,2020,winner,1st Place,1,Deep Tech & AI/ML,B
CMP00176,STU-0291,Sequoia Surge Campus Pitch,ideathon,2020,participant,Participated,2,Logistics & Supply Chain,B
CMP00177,STU-0036,IIT Madras Shaastra Hackathon,product_showcase,2021,winner,1st Place,4,Cybersecurity,C
CMP00178,STU-0013,Sequoia Surge Campus Pitch,innovation_challenge,2024,mentor_judge,Mentored 5 finalist teams,0,Logistics & Supply Chain,B
CMP00179,ALU-0168,National Entrepreneurship Challenge (IIT Bombay),demo_day,2023,participant,Completed submission,5,CleanTech & Sustainability,C
CMP00180,ALU-0024,CII Young Indians Innovation Challenge,product_showcase,2019,organizer,Coordinated 3 tracks; 200 teams,0,Cybersecurity,B
CMP00181,STU-0267,Microsoft Imagine Cup,startup_pitch,2019,participant,Shortlisted in top 50,1,Logistics & Supply Chain,A
CMP00182,ALU-0053,IIM Ahmedabad Eureka!,demo_day,2023,winner,2nd Place,1,Cybersecurity,B
CMP00183,ALU-0007,Smart India Hackathon,product_showcase,2022,mentor_judge,Mentored 5 finalist teams,0,CleanTech & Sustainability,A
CMP00184,STU-0013,IIT Madras Shaastra Hackathon,innovation_challenge,2022,finalist,Top 10 finalist,5,Deep Tech & AI/ML,C
CMP00185,ALU-0100,Startup Tamil Nadu Ideathon,innovation_challenge,2021,participant,Participated,1,Deep Tech & AI/ML,C
CMP00186,STU-0279,IIM Ahmedabad Eureka!,ideathon,2024,finalist,National finalist,5,CleanTech & Sustainability,B
CMP00187,STU-0187,Microsoft Imagine Cup,startup_pitch,2019,participant,Participated,4,Women Empowerment & Social Impact,A
CMP00188,STU-0126,TiE Entrepreneurial Challenge,startup_pitch,2019,finalist,National finalist,2,Healthcare & MedTech,B
CMP00189,STU-0191,Google Solution Challenge,startup_pitch,2021,mentor_judge,Evaluated 30 teams as domain expert judge,0,FinTech & Financial Inclusion,A
CMP00190,STU-0239,NASA Space Apps Challenge,innovation_challenge,2019,winner,1st Place,4,AgriTech & Rural Development,S
CMP00191,STU-0017,IIT Madras Shaastra Hackathon,demo_day,2024,participant,Shortlisted in top 50,1,Smart Cities & GovTech,C
CMP00192,STU-0058,NIDHI Prayas Demo Day,product_showcase,2022,participant,Participated,1,Logistics & Supply Chain,B
CMP00193,STU-0257,Startup Tamil Nadu Ideathon,product_showcase,2019,finalist,Top 10 finalist,1,AgriTech & Rural Development,C
CMP00194,STU-0254,TOYCATHON,innovation_challenge,2022,participant,Shortlisted in top 50,1,Logistics & Supply Chain,A
CMP00195,ALU-0185,Startup Tamil Nadu Ideathon,ideathon,2021,finalist,Top 10 finalist,3,FinTech & Financial Inclusion,C
CMP00196,STU-0141,Vernacular AI Hackathon by AI4Bharat,hackathon,2021,finalist,Top 10 finalist,4,CleanTech & Sustainability,B
CMP00197,STU-0224,Google Solution Challenge,innovation_challenge,2024,participant,Participated,4,Smart Cities & GovTech,A
CMP00198,STU-0123,Startup Tamil Nadu Ideathon,product_showcase,2020,participant,Shortlisted in top 50,1,Healthcare & MedTech,C
CMP00199,ALU-0187,Kerala Startup Mission Demo Day,innovation_challenge,2021,finalist,National finalist,1,AgriTech & Rural Development,B
CMP00200,ALU-0047,TOYCATHON,hackathon,2021,participant,Participated,2,Logistics & Supply Chain,A
CMP00201,ALU-0200,CII Young Indians Innovation Challenge,startup_pitch,2023,winner,2nd Place,3,Cybersecurity,B
CMP00202,ALU-0087,IIT Madras Shaastra Hackathon,ideathon,2020,winner,1st Place,3,Healthcare & MedTech,C
CMP00203,ALU-0024,IIM Ahmedabad Eureka!,design_sprint,2024,finalist,Top 5 finalist,4,AgriTech & Rural Development,B
CMP00204,ALU-0057,Anna University Innovation Challenge,ideathon,2022,finalist,National finalist,3,Women Empowerment & Social Impact,C
CMP00205,STU-0071,Vernacular AI Hackathon by AI4Bharat,innovation_challenge,2022,organizer,Organised successfully; 400+ participants,0,CleanTech & Sustainability,B
CMP00206,ALU-0076,Sequoia Surge Campus Pitch,hackathon,2025,winner,Special Jury Prize,5,Deep Tech & AI/ML,B
CMP00207,ALU-0073,Kerala Startup Mission Demo Day,innovation_challenge,2021,winner,1st Place,1,Logistics & Supply Chain,B
CMP00208,ALU-0155,India Innovation Challenge Design Contest,product_showcase,2023,winner,2nd Place,2,Women Empowerment & Social Impact,A
CMP00209,ALU-0030,Google Solution Challenge,hackathon,2023,participant,Shortlisted in top 50,1,Healthcare & MedTech,A
CMP00210,STU-0183,TOYCATHON,innovation_challenge,2019,winner,2nd Place,4,AgriTech & Rural Development,A
CMP00211,ALU-0098,India Innovation Challenge Design Contest,design_sprint,2023,participant,Completed submission,5,CleanTech & Sustainability,A
CMP00212,STU-0073,Smart India Hackathon,innovation_challenge,2024,participant,Participated,4,EdTech & Skill Development,A
CMP00213,STU-0063,IIT Madras Shaastra Hackathon,design_sprint,2024,finalist,National finalist,4,Smart Cities & GovTech,C
CMP00214,STU-0273,Vernacular AI Hackathon by AI4Bharat,hackathon,2024,winner,1st Place,1,CleanTech & Sustainability,B
CMP00215,STU-0016,Google Solution Challenge,hackathon,2024,participant,Participated,2,Logistics & Supply Chain,A
CMP00216,ALU-0144,CII Young Indians Innovation Challenge,design_sprint,2024,participant,Participated,2,Logistics & Supply Chain,B
