edge_id,source_profile_id,target_profile_id,edge_type,relationship_strength,interaction_count,first_interaction_context,last_interaction_context,created_at
EDG000069,STU-0033,CLB-0014,club_membership,medium,7,Mentorship pod member in innovation hub,Core team member of startup incubation cell,2019-09-13
EDG000070,MEN-0085,STU-0200,mentor_mentee,medium,6,Weekly 1:1 session on product strategy,Monthly check-in on startup metrics,2022-05-08
EDG000071,STU-0215,CLB-0018,club_membership,weak,2,Active contributor in design thinking cell,Volunteer organiser for hackathon chapter,2024-06-12
EDG000072,MEN-0094,ALU-0043,mentor_mentee,strong,15,Monthly check-in on startup metrics,Mock investor pitch review session,2025-12-23
EDG000073,INV-0029,ALU-0072,investor_founder,weak,3,Co-investor introduction at startup event,Term sheet discussion meeting,2023-10-22
EDG000074,MEN-0085,STU-0094,mentor_mentee,medium,5,Weekly 1:1 session on product strategy,Technical architecture review,2024-02-06
EDG000075,MEN-0065,STU-0195,mentor_mentee,weak,1,Technical architecture review,Monthly check-in on startup metrics,2024-04-10
EDG000076,MEN-0092,STU-0027,mentor_mentee,medium,10,Demo day preparation workshop,Resume and career path advisory,2019-06-14
EDG000077,STU-0127,CLB-0007,club_membership,weak,2,Joined entrepreneurship club as core member,Became lead of coding club,2020-04-13
EDG000078,INV-0028,ALU-0040,investor_founder,strong,16,Term sheet discussion meeting,Due diligence call on seed round,2025-10-17
EDG000079,INV-0015,ALU-0130,investor_founder,strong,14,Portfolio company referral meeting,Post-demo-day follow-up meeting,2025-06-28
EDG000080,MEN-0090,STU-0295,mentor_mentee,strong,17,Monthly check-in on startup metrics,Monthly check-in on startup metrics,2019-11-08
EDG000081,INV-0029,STU-0063,investor_founder,strong,30,Warm intro via alumni network,Term sheet discussion meeting,2020-05-10
EDG000082,STU-0290,CLB-0002,club_membership,medium,4,Core team member of startup incubation cell,Mentorship pod member in innovation hub,2024-09-03
EDG000083,INV-0002,ALU-0056,investor_founder,medium,7,Initial screening call via platform match,Portfolio company referral meeting,2023-01-23
EDG000084,INV-0001,STU-0013,investor_founder,weak,3,Post-demo-day follow-up meeting,Initial screening call via platform match,2022-01-11
EDG000085,INV-0001,ALU-0060,investor_founder,medium,9,Initial screening call via platform match,Initial screening call via platform match,2025-08-23
EDG000086,MEN-0082,STU-0016,mentor_mentee,strong,18,Intro call via incubation cell referral,Technical architecture review,2024-03-18
EDG000087,INV-0029,ALU-0018,investor_founder,medium,6,Due diligence call on seed round,Warm intro via alumni network,2021-01-14
EDG000088,INV-0046,STU-0115,investor_founder,weak,3,Due diligence call on seed round,Due diligence call on seed round,2022-02-05
EDG000089,INV-0038,STU-0049,investor_founder,medium,7,Warm intro via alumni network,Post-demo-day follow-up meeting,2025-03-24
EDG000090,ALU-0054,CLB-0016,club_membership,strong,13,Volunteer organiser for hackathon chapter,Volunteer organiser for hackathon chapter,2022-04-20
EDG000091,MEN-0095,STU-0125,mentor_mentee,medium,8,Technical architecture review,Demo day preparation workshop,2022-11-09
EDG000092,INV-0029,ALU-0005,investor_founder,medium,6,Due diligence call on seed round,Term sheet discussion meeting,2021-10-26
EDG000093,MEN-0096,STU-0099,mentor_mentee,medium,10,Demo day preparation workshop,Intro call via incubation cell referral,2021-01-28
EDG000094,MEN-0095,STU-0248,mentor_mentee,strong,17,Technical architecture review,Technical architecture review,2022-04-28
EDG000095,MEN-0073,STU-0155,mentor_mentee,weak,1,Weekly 1:1 session on product strategy,Mock investor pitch review session,2025-03-16
EDG000096,MEN-0067,ALU-0027,mentor_mentee,strong,29,Grant application guidance session,Intro call via incubation cell referral,2022-03-10
EDG000097,INV-0038,ALU-0008,investor_founder,weak,2,Post-demo-day follow-up meeting,Warm intro via alumni network,2020-04-12
EDG000098,STU-0206,CLB-0016,club_membership,weak,3,Enrolled in IEEE technical chapter,Joined entrepreneurship club as core member,2022-05-29
EDG000099,MEN-0082,STU-0061,mentor_mentee,strong,23,Monthly check-in on startup metrics,Resume and career path advisory,2024-01-20
EDG000100,STU-0153,CLB-0019,club_membership,medium,4,Mentorship pod member in innovation hub,Joined AI/ML reading group,2025-11-02
EDG000101,STU-0051,CLB-0007,club_membership,medium,5,Active contributor in design thinking cell,Joined AI/ML reading group,2021-09-09
EDG000102,MEN-0060,STU-0081,mentor_mentee,medium,8,Weekly 1:1 session on product strategy,Monthly check-in on startup metrics,2024-04-08
EDG000103,MEN-0080,STU-0148,mentor_mentee,weak,1,Technical architecture review,Grant application guidance session,2021-12-19
EDG000104,ALU-0021,CLB-0019,club_membership,weak,1,Active contributor in design thinking cell,Mentorship pod member in innovation hub,2020-09-02
EDG000105,STU-0073,CLB-0003,club_membership,strong,30,Joined entrepreneurship club as core member,Became lead of coding club,2025-05-20
EDG000106,STU-0225,CLB-0004,club_membership,medium,6,Volunteer organiser for hackathon chapter,Joined AI/ML reading group,2024-08-11
EDG000107,INV-0038,STU-0021,investor_founder,strong,21,Co-investor introduction at startup event,Warm intro via alumni network,2025-10-08
EDG000108,MEN-0062,STU-0118,mentor_mentee,medium,10,Weekly 1:1 session on product strategy,Technical architecture review,2020-12-18
EDG000109,INV-0001,ALU-0034,investor_founder,strong,24,Due diligence call on seed round,Post-demo-day follow-up meeting,2024-07-07
EDG000110,STU-0241,CLB-0012,club_membership,medium,4,Mentorship pod member in innovation hub,Core team member of startup incubation cell,2020-10-20
EDG000111,MEN-0095,STU-0254,mentor_mentee,strong,28,Technical architecture review,Monthly check-in on startup metrics,2019-05-31
EDG000112,INV-0041,STU-0065,investor_founder,strong,23,Due diligence call on seed round,Warm intro via alumni network,2024-10-08
EDG000113,STU-0001,CLB-0018,club_membership,weak,3,Volunteer organiser for hackathon chapter,Mentorship pod member in innovation hub,2023-01-21
EDG000114,INV-0001,ALU-0081,investor_founder,weak,2,Initial screening call via platform match,Portfolio company referral meeting,2025-02-27
EDG000115,MEN-0087,STU-0225,mentor_mentee,weak,3,Grant application guidance session,Intro call via incubation cell referral,2025-10-29
EDG000116,STU-0126,CLB-0006,club_membership,medium,4,Joined AI/ML reading group,Joined entrepreneurship club as core member,2021-07-09
EDG000117,STU-0059,CLB-0015,club_membership,medium,9,Enrolled in IEEE technical chapter,Became lead of coding club,2022-04-10
EDG000118,INV-0035,ALU-0027,investor_founder,strong,18,Portfolio company referral meeting,Initial screening call via platform match,2024-02-14
EDG000119,INV-0050,STU-0049,investor_founder,medium,5,Co-investor introduction at startup event,Co-investor introduction at startup event,2019-10-13
EDG000120,MEN-0085,STU-0175,mentor_mentee,weak,2,Technical architecture review,Weekly 1:1 session on product strategy,2025-08-01
EDG000121,INV-0049,ALU-0046,investor_founder,medium,7,Portfolio company referral meeting,Post-demo-day follow-up meeting,2022-11-14
EDG000122,MEN-0065,STU-0279,mentor_mentee,strong,17,Monthly check-in on startup metrics,Grant application guidance session,2021-09-05
EDG000123,INV-0030,ALU-0130,investor_founder,weak,3,Portfolio company referral meeting,Initial screening call via platform match,2024-04-21
EDG000124,STU-0017,CLB-0013,club_membership,medium,4,Mentorship pod member in innovation hub,Became lead of coding club,2020-06-01
EDG000125,INV-0029,ALU-0005,investor_founder,strong,25,Portfolio company referral meeting,Warm intro via alumni network,2020-02-13
EDG000126,INV-0001,STU-0004,investor_founder,medium,9,Term sheet discussion meeting,Post-demo-day follow-up meeting,2020-09-24
EDG000127,MEN-0084,STU-0174,mentor_mentee,strong,28,Monthly check-in on startup metrics,Intro call via incubation cell referral,2023-04-06
EDG000128,ALU-0021,CLB-0016,club_membership,weak,3,Joined entrepreneurship club as core member,Enrolled in IEEE technical chapter,2022-03-23
EDG000129,STU-0280,CLB-0003,club_membership,strong,14,Mentorship pod member in innovation hub,Enrolled in IEEE technical chapter,2023-12-23
EDG000130,MEN-0089,STU-0015,mentor_mentee,strong,20,Weekly 1:1 session on product strategy,Demo day preparation workshop,2023-01-08
EDG000131,MEN-0069,STU-0126,mentor_mentee,weak,1,Monthly check-in on startup metrics,Mock investor pitch review session,2025-11-01
EDG000132,ALU-0018,CLB-0008,club_membership,weak,3,Volunteer organiser for hackathon chapter,Became lead of coding club,2021-11-06
EDG000133,INV-0029,STU-0003,investor_founder,strong,28,Portfolio company referral meeting,Initial screening call via platform match,2020-10-09
EDG000134,MEN-0095,ALU-0001,mentor_mentee,medium,7,Technical architecture review,Monthly check-in on startup metrics,2022-05-22
EDG000135,MEN-0100,STU-0248,mentor_mentee,medium,6,Intro call via incubation cell referral,Resume and career path advisory,2025-06-12
EDG000136,MEN-0085,STU-0152,mentor_mentee,weak,3,Weekly 1:1 session on product strategy,Monthly check-in on startup metrics,2019-07-20
EDG000137,STU-0053,CLB-0016,club_membership,medium,6,Joined AI/ML reading group,Active contributor in design thinking cell,2021-06-16
EDG000138,INV-0049,STU-0065,investor_founder,medium,9,Term sheet discussion meeting,Portfolio company referral meeting,2020-07-14
EDG000139,INV-0029,ALU-0086,investor_founder,strong,12,Warm intro via alumni network,Due diligence call on seed round,2025-07-01
EDG000140,MEN-0067,STU-0047,mentor_mentee,medium,5,Technical architecture review,Demo day preparation workshop,2021-04-02
EDG000141,MEN-0092,STU-0188,mentor_mentee,weak,2,Technical architecture review,Mock investor pitch review session,2022-04-23
EDG000142,STU-0174,CLB-0004,club_membership,weak,1,Volunteer organiser for hackathon chapter,Enrolled in IEEE technical chapter,2023-06-16
EDG000143,STU-0053,CLB-0018,club_membership,strong,11,Core team member of startup incubation cell,Enrolled in IEEE technical chapter,2021-12-19
EDG000144,INV-0001,ALU-0015,investor_founder,medium,8,Term sheet discussion meeting,Term sheet discussion meeting,2023-04-10
EDG000145,STU-0191,CLB-0004,club_membership,weak,3,Active contributor in design thinking cell,Volunteer organiser for hackathon chapter,2022-09-05
EDG000146,STU-0114,CLB-0003,club_membership,medium,4,Volunteer organiser for hackathon chapter,Joined AI/ML reading group,2020-07-26
EDG000147,MEN-0055,STU-0156,mentor_mentee,weak,3,Grant application guidance session,Intro call via incubation cell referral,2020-07-09
EDG000148,MEN-0098,ALU-0044,mentor_mentee,strong,14,Monthly check-in on startup metrics,Mock investor pitch review session,2024-06-27
EDG000149,INV-0036,STU-0009,investor_founder,weak,2,Term sheet discussion meeting,Due diligence call on seed round,2021-08-25
EDG000150,STU-0051,CLB-0012,club_membership,medium,5,Core team member of startup incubation cell,Joined entrepreneurship club as core member,2020-05-15
EDG000151,STU-0233,CLB-0003,club_membership,weak,2,Active contributor in design thinking cell,Joined entrepreneurship club as core member,2021-09-24
EDG000152,ALU-0024,CLB-0019,club_membership,strong,28,Active contributor in design thinking cell,Enrolled in IEEE technical chapter,2021-04-28
EDG000153,INV-0030,ALU-0005,investor_founder,strong,30,Portfolio company referral meeting,Post-demo-day follow-up meeting,2019-01-12
EDG000154,MEN-0069,STU-0067,mentor_mentee,weak,1,Technical architecture review,Mock investor pitch review session,2020-06-23
EDG000155,MEN-0081,ALU-0002,mentor_mentee,weak,1,Demo day preparation workshop,Weekly 1:1 session on product strategy,2020-06-03
EDG000156,STU-0270,CLB-0004,club_membership,medium,6,Enrolled in IEEE technical chapter,Volunteer organiser for hackathon chapter,2024-10-03
EDG000157,INV-0018,ALU-0049,investor_founder,weak,3,Post-demo-day follow-up meeting,Co-investor introduction at startup event,2024-11-05
EDG000158,MEN-0095,STU-0016,mentor_mentee,strong,24,Weekly 1:1 session on product strategy,Grant application guidance session,2020-03-18
EDG000159,INV-0038,STU-0019,investor_founder,medium,4,Warm intro via alumni network,Due diligence call on seed round,2020-05-31
EDG000160,MEN-0092,STU-0300,mentor_mentee,strong,27,Demo day preparation workshop,Monthly check-in on startup metrics,2022-04-22
EDG000161,INV-0018,ALU-0031,investor_founder,medium,10,Warm intro via alumni network,Portfolio company referral meeting,2025-03-08
EDG000162,STU-0111,CLB-0014,club_membership,medium,10,Volunteer organiser for hackathon chapter,Active contributor in design thinking cell,2024-02-01
EDG000163,MEN-0092,STU-0049,mentor_mentee,medium,6,Demo day preparation workshop,Monthly check-in on startup metrics,2023-03-14
EDG000164,ALU-0052,CLB-0016,club_membership,strong,13,Enrolled in IEEE technical chapter,Enrolled in IEEE technical chapter,2023-11-04
EDG000165,MEN-0095,STU-0191,mentor_mentee,medium,8,Mock investor pitch review session,Weekly 1:1 session on product strategy,2025-04-19
EDG000166,MEN-0066,STU-0211,mentor_mentee,strong,12,Demo day preparation workshop,Monthly check-in on startup metrics,2022-03-24
EDG000167,INV-0046,STU-0027,investor_founder,weak,3,Co-investor introduction at startup event,Co-investor introduction at startup event,2024-05-29
EDG000168,MEN-0064,STU-0180,mentor_mentee,strong,29,Demo day preparation workshop,Intro call via incubation cell referral,2021-07-15
EDG000169,STU-0288,CLB-0020,club_membership,weak,2,Joined entrepreneurship club as core member,Joined AI/ML reading group,2022-06-19
EDG000170,STU-0180,CLB-0001,club_membership,medium,7,Became lead of coding club,Became lead of coding club,2019-10-13
EDG000171,MEN-0092,STU-0016,mentor_mentee,medium,7,Intro call via incubation cell referral,Resume and career path advisory,2022-10-28
EDG000172,MEN-0090,STU-0126,mentor_mentee,strong,15,Demo day preparation workshop,Intro call via incubation cell referral,2020-10-06
EDG000173,STU-0026,CLB-0003,club_membership,medium,7,Joined AI/ML reading group,Volunteer organiser for hackathon chapter,2025-10-22
EDG000174,INV-0035,STU-0056,investor_founder,weak,2,Portfolio company referral meeting,Co-investor introduction at startup event,2020-03-30
EDG000175,MEN-0096,ALU-0004,mentor_mentee,weak,2,Grant application guidance session,Technical architecture review,2025-09-20
EDG000176,MEN-0077,STU-0155,mentor_mentee,strong,20,Resume and career path advisory,Mock investor pitch review session,2022-09-05
EDG000177,MEN-0092,STU-0058,mentor_mentee,weak,3,Monthly check-in on startup metrics,Mock investor pitch review session,2021-07-31
EDG000178,INV-0029,ALU-0024,investor_founder,medium,9,Due diligence call on seed round,Warm intro via alumni network,2019-06-23
EDG000179,INV-0001,STU-0020,investor_founder,medium,8,Portfolio company referral meeting,Due diligence call on seed round,2023-07-15
EDG000180,STU-0214,CLB-0010,club_membership,weak,2,Enrolled in IEEE technical chapter,Mentorship pod member in innovation hub,2020-12-04
EDG000181,ALU-0017,CLB-0015,club_membership,medium,4,Core team member of startup incubation cell,Enrolled in IEEE technical chapter,2021-09-23
EDG000182,INV-0038,ALU-0055,investor_founder,strong,21,Warm intro via alumni network,Initial screening call via platform match,2021-06-26
EDG000183,MEN-0072,STU-0040,mentor_mentee,strong,22,Intro call via incubation cell referral,Resume and career path advisory,2022-12-09
EDG000184,ALU-0060,CLB-0005,club_membership,weak,1,Active contributor in design thinking cell,Enrolled in IEEE technical chapter,2020-12-11
EDG000185,INV-0001,STU-0020,investor_founder,medium,7,Post-demo-day follow-up meeting,Portfolio company referral meeting,2025-04-28
EDG000186,STU-0230,CLB-0019,club_membership,weak,1,Core team member of startup incubation cell,Core team member of startup incubation cell,2024-04-04
EDG000187,INV-0039,STU-0126,investor_founder,weak,3,Due diligence call on seed round,Co-investor introduction at startup event,2019-10-31
EDG000188,MEN-0092,STU-0020,mentor_mentee,strong,13,Weekly 1:1 session on product strategy,Demo day preparation workshop,2020-01-05
EDG000189,INV-0049,ALU-0019,investor_founder,medium,10,Initial screening call via platform match,Co-investor introduction at startup event,2019-06-18
EDG000190,INV-0001,ALU-0087,investor_founder,medium,8,Post-demo-day follow-up meeting,Due diligence call on seed round,2020-09-09
EDG000191,STU-0231,CLB-0004,club_membership,medium,5,Core team member of startup incubation cell,Enrolled in IEEE technical chapter,2019-06-10
EDG000192,MEN-0096,STU-0225,mentor_mentee,medium,6,Mock investor pitch review session,Demo day preparation workshop,2023-05-06
EDG000193,INV-0044,ALU-0094,investor_founder,strong,21,Co-investor introduction at startup event,Warm intro via alumni network,2019-09-27
EDG000194,MEN-0085,ALU-0048,mentor_mentee,weak,3,Monthly check-in on startup metrics,Technical architecture review,2025-10-04
EDG000195,STU-0171,CLB-0003,club_membership,medium,9,Became lead of coding club,Core team member of startup incubation cell,2023-05-25
EDG000196,MEN-0077,STU-0044,mentor_mentee,medium,6,Technical architecture review,Monthly check-in on startup metrics,2020-06-07
EDG000197,INV-0018,ALU-0055,investor_founder,medium,8,Warm intro via alumni network,Term sheet discussion meeting,2023-01-22
EDG000198,MEN-0090,STU-0093,mentor_mentee,strong,26,Resume and career path advisory,Demo day preparation workshop,2021-02-25
EDG000199,MEN-0068,STU-0080,mentor_mentee,strong,14,Intro call via incubation cell referral,Technical architecture review,2024-09-10
EDG000200,STU-0126,CLB-0017,club_membership,strong,30,Joined entrepreneurship club as core member,Core team member of startup incubation cell,2020-06-20
EDG000201,INV-0020,STU-0042,investor_founder,medium,8,Post-demo-day follow-up meeting,Portfolio company referral meeting,2020-11-09
EDG000202,STU-0023,CLB-0014,club_membership,strong,30,Core team member of startup incubation cell,Active contributor in design thinking cell,2022-03-13
EDG000203,STU-0016,CLB-0015,club_membership,medium,10,Active contributor in design thinking cell,Active contributor in design thinking cell,2024-04-05
EDG000204,STU-0100,CLB-0012,club_membership,strong,23,Volunteer organiser for hackathon chapter,Volunteer organiser for hackathon chapter,2024-08-21
EDG000205,INV-0021,ALU-0130,investor_founder,medium,10,Post-demo-day follow-up meeting,Portfolio company referral meeting,2021-10-21
EDG000206,MEN-0065,STU-0191,mentor_mentee,weak,1,Intro call via incubation cell referral,Intro call via incubation cell referral,2022-01-22
EDG000207,INV-0029,STU-0038,investor_founder,weak,1,Portfolio company referral meeting,Initial screening call via platform match,2024-01-22
EDG000208,STU-0014,CLB-0014,club_membership,medium,5,Joined entrepreneurship club as core member,Mentorship pod member in innovation hub,2023-05-01
EDG000209,STU-0192,CLB-0008,club_membership,strong,21,Joined entrepreneurship club as core member,Core team member of startup incubation cell,2020-08-21
EDG000210,MEN-0087,STU-0017,mentor_mentee,strong,26,Grant application guidance session,Mock investor pitch review session,2024-01-12
EDG000211,INV-0011,STU-0005,investor_founder,strong,28,Due diligence call on seed round,Post-demo-day follow-up meeting,2025-10-29
EDG000212,INV-0015,ALU-0060,investor_founder,medium,4,Due diligence call on seed round,Post-demo-day follow-up meeting,2021-09-03
EDG000213,INV-0049,ALU-0038,investor_founder,strong,26,Warm intro via alumni network,Warm intro via alumni network,2025-09-10
EDG000214,INV-0029,ALU-0052,investor_founder,medium,6,Co-investor introduction at startup event,Post-demo-day follow-up meeting,2023-10-25
EDG000215,MEN-0096,STU-0124,mentor_mentee,medium,4,Monthly check-in on startup metrics,Mock investor pitch review session,2024-11-14
EDG000216,STU-0035,CLB-0017,club_membership,strong,12,Joined entrepreneurship club as core member,Mentorship pod member in innovation hub,2023-05-04
EDG000217,STU-0130,CLB-0001,club_membership,medium,9,Core team member of startup incubation cell,Enrolled in IEEE technical chapter,2020-02-29
EDG000218,STU-0013,CLB-0011,club_membership,medium,6,Became lead of coding club,Joined entrepreneurship club as core member,2020-12-18
EDG000219,ALU-0051,CLB-0015,club_membership,strong,13,Volunteer organiser for hackathon chapter,Became lead of coding club,2024-02-18
EDG000220,MEN-0076,STU-0023,mentor_mentee,medium,6,Resume and career path advisory,Weekly 1:1 session on product strategy,2024-10-12
EDG000221,MEN-0092,STU-0243,mentor_mentee,strong,17,Technical architecture review,Weekly 1:1 session on product strategy,2022-03-17
EDG000222,MEN-0057,ALU-0036,mentor_mentee,weak,2,Demo day preparation workshop,Technical architecture review,2023-11-25
