event_id,startup_id,event_date,event_type,stage_at_event,amount_in_inr,milestone_note
EV000076,STA00018,2023-03-13,pilot_signed,seed,0,LOI received from 2 SME clients.
EV000077,STA00018,2023-09-26,pre_seed_round,series-a,3000000,Pre-seed round of ₹30 closed.
EV000078,STA00018,2023-12-24,product_launched,seed,0,Product launched on App Store and Play Store.
EV000079,STA00018,2024-05-22,revenue_milestone,series-a,1000000,Reached ₹10 MRR.
EV000080,STA00018,2024-09-08,seed_round,series-a,3000000,₹30 seed investment from VC firm.
EV000081,STA00018,2025-04-15,series_a_round,series-a,20000000,Series A of ₹2 closed.
EV000082,STA00019,2026-05-01,incubated,pre-seed,0,Selected for NSRCEL cohort 2026.
EV000083,STA00019,2026-06-13,prototype_built,pre-seed,0,Working prototype demonstrated to 4 pilot users.
EV000084,STA00020,2024-02-09,incubated,pre-seed,0,Joined NSRCEL pre-incubation programme.
EV000085,STA00020,2024-10-16,grant_received,pre-seed,5000000,Received ₹50 BIRAC BIG grant.
EV000086,STA00020,2025-03-11,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000087,STA00021,2025-01-19,incubated,pre-seed,0,Joined Forge pre-incubation programme.
EV000088,STA00021,2025-08-16,prototype_built,pre-seed,0,MVP built and tested internally.
EV000089,STA00021,2025-09-28,demo_day,seed,0,Showcased at Smart India Hackathon finals.
EV000090,STA00021,2026-04-19,pilot_signed,seed,0,MoU executed with Titan Company for 3-month trial.
EV000091,STA00021,2026-06-03,pre_seed_round,seed,3000000,Pre-seed round of ₹30 closed.
EV000092,STA00021,2026-09-21,product_launched,seed,0,SaaS platform went live; 50 sign-ups on day one.
EV000093,STA00022,2025-03-11,incubated,pre-seed,0,Admitted to CIIE.CO incubation centre.
EV000094,STA00022,2025-10-21,grant_received,pre-seed,2500000,DST-NIDHI PRAYAS grant of ₹25 sanctioned.
EV000095,STA00022,2025-11-29,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000096,STA00023,2023-02-06,incubated,pre-seed,0,Joined Forge pre-incubation programme.
EV000097,STA00023,2023-08-20,prototype_built,pre-seed,0,MVP built and tested internally.
EV000098,STA00023,2024-02-21,demo_day,seed,0,Pitched at NIT Trichy Investor Summit.
EV000099,STA00023,2024-11-08,pilot_signed,seed,0,Pilot agreement signed with Titan Company.
EV000100,STA00023,2025-06-22,pre_seed_round,seed,2500000,₹25 raised at pre-seed from 9 investors.
EV000101,STA00023,2026-04-04,product_launched,seed,0,Product launched on App Store and Play Store.
EV000102,STA00024,2024-06-22,incubated,pre-seed,0,Selected for CIIE.CO cohort 2024.
EV000103,STA00024,2025-04-17,grant_received,pre-seed,3000000,Received ₹30 BIRAC BIG grant.
EV000104,STA00024,2025-10-22,prototype_built,pre-seed,0,Working prototype demonstrated to 4 pilot users.
EV000105,STA00025,2021-05-17,incubated,pre-seed,0,Selected for Anna University cohort 2021.
EV000106,STA00025,2022-02-17,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000107,STA00025,2022-06-09,demo_day,seed,0,Pitched at NIT Trichy Investor Summit.
EV000108,STA00025,2023-01-03,pilot_signed,seed,0,Pilot agreement signed with National Skill Development Corporation.
EV000109,STA00025,2023-03-15,pre_seed_round,series-a,1000000,₹10 raised at pre-seed from 4 investors.
EV000110,STA00025,2023-06-23,product_launched,seed,0,Product launched on App Store and Play Store.
EV000111,STA00025,2023-07-25,revenue_milestone,series-a,30000,First paying customer onboarded at ₹30/month.
EV000112,STA00025,2024-03-27,seed_round,series-a,5000000,Seed round of ₹50 closed.
EV000113,STA00025,2024-08-26,series_a_round,series-a,10000000,₹1 Series A led by institutional VC.
EV000114,STA00026,2025-02-24,incubated,pre-seed,0,Joined T-Hub pre-incubation programme.
EV000115,STA00026,2025-09-22,grant_received,pre-seed,5000000,TIDE 2.0 grant of ₹50 disbursed.
EV000116,STA00026,2025-12-30,prototype_built,pre-seed,0,Working prototype demonstrated to 2 pilot users.
EV000117,STA00027,2025-04-20,incubated,pre-seed,0,Admitted to NIT Trichy incubation centre.
EV000118,STA00027,2025-10-18,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000119,STA00027,2025-12-08,product_launched,bootstrapped,0,Public beta launched; 200 waitlist converts.
EV000120,STA00027,2026-02-14,revenue_milestone,bootstrapped,3000000,Reached ₹30 MRR.
EV000121,STA00028,2026-02-16,incubated,pre-seed,0,Joined NSRCEL pre-incubation programme.
EV000122,STA00028,2026-08-11,prototype_built,pre-seed,0,MVP built and tested internally.
EV000123,STA00029,2024-06-16,incubated,pre-seed,0,Joined NIT Trichy pre-incubation programme.
EV000124,STA00029,2024-08-22,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000125,STA00029,2025-06-05,product_launched,bootstrapped,0,Product launched on App Store and Play Store.
EV000126,STA00029,2025-09-25,revenue_milestone,bootstrapped,3000000,₹30 ARR milestone crossed.
EV000127,STA00030,2026-03-16,incubated,pre-seed,0,Admitted to Forge incubation centre.
EV000128,STA00030,2026-07-04,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000129,STA00031,2025-02-27,incubated,pre-seed,0,Selected for Anna University cohort 2025.
EV000130,STA00031,2025-11-23,grant_received,pre-seed,1500000,AIM-iCREATE grant of ₹15 awarded.
EV000131,STA00031,2026-08-14,prototype_built,pre-seed,0,Working prototype demonstrated to 9 pilot users.
EV000132,STA00032,2026-04-25,incubated,pre-seed,0,Joined NIT Trichy pre-incubation programme.
EV000133,STA00032,2026-11-14,prototype_built,pre-seed,0,MVP built and tested internally.
EV000134,STA00033,2025-06-21,incubated,pre-seed,0,Admitted to IIMB incubation centre.
EV000135,STA00033,2025-10-16,grant_received,pre-seed,1000000,AIM-iCREATE grant of ₹10 awarded.
EV000136,STA00033,2026-06-28,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000137,STA00034,2025-06-18,incubated,pre-seed,0,Selected for NSRCEL cohort 2025.
EV000138,STA00034,2025-08-27,grant_received,pre-seed,2000000,TIDE 2.0 grant of ₹20 disbursed.
EV000139,STA00034,2026-02-11,prototype_built,pre-seed,0,MVP built and tested internally.
EV000140,STA00035,2025-03-10,incubated,pre-seed,0,Joined IIMB pre-incubation programme.
EV000141,STA00035,2025-07-07,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000142,STA00036,2025-06-25,incubated,pre-seed,0,Admitted to T-Hub incubation centre.
EV000143,STA00036,2025-09-11,prototype_built,pre-seed,0,Working prototype demonstrated to 6 pilot users.
EV000144,STA00037,2023-06-27,incubated,pre-seed,0,Admitted to NIT Trichy incubation centre.
EV000145,STA00037,2024-04-22,prototype_built,pre-seed,0,MVP built and tested internally.
EV000146,STA00037,2025-02-04,demo_day,seed,0,Presented at T-Hub Demo Day; selected top-3 startup.
EV000147,STA00037,2025-05-04,pilot_signed,seed,0,LOI received from 9 SME clients.
EV000148,STA00037,2025-08-09,pre_seed_round,series-a,2000000,₹20 raised at pre-seed from 2 investors.
EV000149,STA00037,2026-03-29,product_launched,seed,0,SaaS platform went live; 50 sign-ups on day one.
EV000150,STA00037,2026-05-21,revenue_milestone,series-a,1500000,₹15 ARR milestone crossed.
EV000151,STA00037,2026-07-06,seed_round,series-a,2000000,₹20 seed investment from VC firm.
EV000152,STA00037,2027-03-22,series_a_round,series-a,120000000,₹12 Series A led by institutional VC.
EV000153,STA00038,2023-04-20,incubated,pre-seed,0,Admitted to NIT Trichy incubation centre.
EV000154,STA00038,2024-01-03,prototype_built,pre-seed,0,MVP built and tested internally.
EV000155,STA00038,2024-05-31,demo_day,seed,0,Showcased at Smart India Hackathon finals.
EV000156,STA00038,2024-12-11,pilot_signed,seed,0,Pilot agreement signed with Ola.
EV000157,STA00038,2025-05-30,pre_seed_round,seed,2500000,Pre-seed round of ₹25 closed.
EV000158,STA00038,2025-07-23,product_launched,seed,0,SaaS platform went live; 50 sign-ups on day one.
EV000159,STA00039,2026-06-03,incubated,pre-seed,0,Selected for IIMB cohort 2026.
EV000160,STA00039,2027-01-12,prototype_built,pre-seed,0,MVP built and tested internally.
EV000161,STA00040,2024-05-16,incubated,pre-seed,0,Selected for IIMB cohort 2024.
EV000162,STA00040,2025-01-12,prototype_built,pre-seed,0,Working prototype demonstrated to 6 pilot users.
EV000163,STA00040,2025-09-12,product_launched,bootstrapped,0,SaaS platform went live; 50 sign-ups on day one.
EV000164,STA00040,2026-06-24,revenue_milestone,bootstrapped,3000000,Reached ₹30 MRR.
EV000165,STA00041,2026-05-15,incubated,pre-seed,0,Selected for Forge cohort 2026.
EV000166,STA00041,2027-01-10,prototype_built,pre-seed,0,Working prototype demonstrated to 10 pilot users.
EV000167,STA00042,2023-04-18,incubated,pre-seed,0,Selected for Anna University cohort 2023.
EV000168,STA00042,2023-12-26,prototype_built,pre-seed,0,MVP built and tested internally.
EV000169,STA00042,2024-05-21,product_launched,bootstrapped,0,Product launched on App Store and Play Store.
EV000170,STA00042,2024-07-06,revenue_milestone,bootstrapped,30000,First paying customer onboarded at ₹30/month.
EV000171,STA00043,2026-05-22,incubated,pre-seed,0,Selected for NIT Trichy cohort 2026.
EV000172,STA00043,2026-09-07,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000173,STA00044,2024-05-08,incubated,pre-seed,0,Joined CIIE.CO pre-incubation programme.
EV000174,STA00044,2024-10-22,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000175,STA00044,2025-04-11,product_launched,bootstrapped,0,SaaS platform went live; 50 sign-ups on day one.
EV000176,STA00044,2026-01-19,revenue_milestone,bootstrapped,2500000,Reached ₹25 MRR.
EV000177,STA00045,2023-05-07,incubated,pre-seed,0,Joined IIT Madras pre-incubation programme.
EV000178,STA00045,2024-01-16,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000179,STA00045,2024-06-17,demo_day,seed,0,Pitched at CIIE.CO Investor Summit.
EV000180,STA00045,2025-03-03,pilot_signed,seed,0,LOI received from 2 SME clients.
EV000181,STA00045,2025-10-03,pre_seed_round,series-a,500000,Pre-seed round of ₹5 closed.
EV000182,STA00045,2026-05-25,product_launched,seed,0,SaaS platform went live; 50 sign-ups on day one.
EV000183,STA00045,2026-10-15,revenue_milestone,series-a,3000000,Reached ₹30 MRR.
EV000184,STA00045,2027-07-28,seed_round,series-a,1500000,Seed round of ₹15 closed.
EV000185,STA00045,2027-10-09,series_a_round,series-a,30000000,Series A of ₹3 closed.
EV000186,STA00046,2024-05-14,incubated,pre-seed,0,Selected for NSRCEL cohort 2024.
EV000187,STA00046,2024-09-16,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000188,STA00046,2025-07-13,demo_day,seed,0,Showcased at Smart India Hackathon finals.
EV000189,STA00046,2026-02-06,pilot_signed,seed,0,MoU executed with Tamil Nadu e-Governance Agency for 3-month trial.
EV000190,STA00046,2026-05-15,pre_seed_round,seed,500000,₹5 raised at pre-seed from 7 investors.
EV000191,STA00046,2026-08-25,product_launched,seed,0,Public beta launched; 200 waitlist converts.
EV000192,STA00047,2024-03-02,incubated,pre-seed,0,Selected for Forge cohort 2024.
EV000193,STA00047,2024-12-18,grant_received,pre-seed,2500000,Received ₹25 BIRAC BIG grant.
EV000194,STA00047,2025-08-30,prototype_built,pre-seed,0,MVP built and tested internally.
EV000195,STA00048,2025-05-09,incubated,pre-seed,0,Joined CIIE.CO pre-incubation programme.
EV000196,STA00048,2025-08-11,prototype_built,pre-seed,0,MVP built and tested internally.
EV000197,STA00048,2026-03-30,product_launched,bootstrapped,0,SaaS platform went live; 50 sign-ups on day one.
EV000198,STA00048,2026-06-06,revenue_milestone,bootstrapped,5000000,Reached ₹50 MRR.
EV000199,STA00049,2025-04-01,incubated,pre-seed,0,Admitted to Forge incubation centre.
EV000200,STA00049,2025-08-12,prototype_built,pre-seed,0,MVP built and tested internally.
EV000201,STA00050,2024-01-24,incubated,pre-seed,0,Admitted to NSRCEL incubation centre.
EV000202,STA00050,2024-05-01,grant_received,pre-seed,500000,DST-NIDHI PRAYAS grant of ₹5 sanctioned.
EV000203,STA00050,2024-09-17,prototype_built,pre-seed,0,MVP built and tested internally.
EV000204,STA00051,2025-01-12,incubated,pre-seed,0,Selected for CIIE.CO cohort 2025.
EV000205,STA00051,2025-05-10,grant_received,pre-seed,5000000,AIM-iCREATE grant of ₹50 awarded.
EV000206,STA00051,2025-09-27,prototype_built,pre-seed,0,Working prototype demonstrated to 8 pilot users.
EV000207,STA00052,2025-04-04,incubated,pre-seed,0,Selected for Anna University cohort 2025.
EV000208,STA00052,2025-07-13,prototype_built,pre-seed,0,MVP built and tested internally.
EV000209,STA00053,2025-02-09,incubated,pre-seed,0,Admitted to IIT Madras incubation centre.
EV000210,STA00053,2025-07-14,prototype_built,pre-seed,0,Working prototype demonstrated to 2 pilot users.
EV000211,STA00054,2026-03-19,incubated,pre-seed,0,Selected for T-Hub cohort 2026.
EV000212,STA00054,2026-07-27,prototype_built,pre-seed,0,MVP built and tested internally.
EV000213,STA00055,2025-06-03,incubated,pre-seed,0,Joined CIIE.CO pre-incubation programme.
EV000214,STA00055,2026-02-10,grant_received,pre-seed,1000000,DST-NIDHI PRAYAS grant of ₹10 sanctioned.
EV000215,STA00055,2026-08-21,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000216,STA00056,2024-01-22,incubated,pre-seed,0,Selected for CIIE.CO cohort 2024.
EV000217,STA00056,2024-06-27,prototype_built,pre-seed,0,Working prototype demonstrated to 2 pilot users.
EV000218,STA00056,2024-11-17,demo_day,seed,0,Presented at NIT Trichy Demo Day; selected top-3 startup.
EV000219,STA00056,2025-01-24,pilot_signed,seed,0,Pilot agreement signed with BSNL.
EV000220,STA00056,2025-08-11,pre_seed_round,seed,500000,Pre-seed round of ₹5 closed.
EV000221,STA00056,2026-03-31,product_launched,seed,0,SaaS platform went live; 50 sign-ups on day one.
EV000222,STA00057,2025-03-06,incubated,pre-seed,0,Admitted to NSRCEL incubation centre.
EV000223,STA00057,2025-10-05,prototype_built,pre-seed,0,MVP built and tested internally.
EV000224,STA00058,2023-05-16,incubated,pre-seed,0,Admitted to T-Hub incubation centre.
EV000225,STA00058,2023-07-15,prototype_built,pre-seed,0,Working prototype demonstrated to 7 pilot users.
EV000226,STA00058,2024-03-03,demo_day,seed,0,Showcased at Smart India Hackathon finals.
EV000227,STA00058,2024-11-11,pilot_signed,seed,0,LOI received from 4 SME clients.
EV000228,STA00058,2025-06-22,pre_seed_round,series-a,3000000,₹30 raised at pre-seed from 8 investors.
EV000229,STA00058,2025-08-07,product_launched,seed,0,Product launched on App Store and Play Store.
EV000230,STA00058,2026-05-18,revenue_milestone,series-a,10000,First paying customer onboarded at ₹10/month.
EV000231,STA00058,2026-08-01,seed_round,series-a,2000000,₹20 seed investment from VC firm.
EV000232,STA00058,2027-02-26,series_a_round,series-a,120000000,₹12 Series A led by institutional VC.
EV000233,STA00059,2025-01-18,incubated,pre-seed,0,Admitted to IIT Madras incubation centre.
EV000234,STA00059,2025-09-27,prototype_built,pre-seed,0,Working prototype demonstrated to 8 pilot users.
EV000235,STA00059,2026-03-11,product_launched,bootstrapped,0,Public beta launched; 200 waitlist converts.
EV000236,STA00059,2026-12-17,revenue_milestone,bootstrapped,30000,First paying customer onboarded at ₹30/month.
EV000237,STA00060,2026-04-02,incubated,pre-seed,0,Selected for IIMB cohort 2026.
EV000238,STA00060,2026-07-18,prototype_built,pre-seed,0,MVP built and tested internally.
EV000239,STA00061,2024-04-18,incubated,pre-seed,0,Selected for Forge cohort 2024.
EV000240,STA00061,2024-12-18,prototype_built,pre-seed,0,Working prototype demonstrated to 3 pilot users.
EV000241,STA00061,2025-06-12,demo_day,seed,0,Showcased at Smart India Hackathon finals.
EV000242,STA00061,2025-07-31,pilot_signed,seed,0,Pilot agreement signed with Apollo Hospitals.
EV000243,STA00061,2026-02-15,pre_seed_round,series-a,500000,Pre-seed round of ₹5 closed.
EV000244,STA00061,2026-08-19,product_launched,seed,0,SaaS platform went live; 50 sign-ups on day one.
EV000245,STA00061,2027-02-18,revenue_milestone,series-a,2000000,Reached ₹20 MRR.
EV000246,STA00061,2027-06-24,seed_round,series-a,1000000,₹10 seed investment from VC firm.
EV000247,STA00061,2027-08-21,series_a_round,series-a,120000000,Series A of ₹12 closed.
EV000248,STA00062,2022-05-12,incubated,pre-seed,0,Selected for NIT Trichy cohort 2022.
EV000249,STA00062,2022-12-25,prototype_built,pre-seed,0,Working prototype demonstrated to 6 pilot users.
EV000250,STA00062,2023-08-21,product_launched,bootstrapped,0,Public beta launched; 200 waitlist converts.
EV000251,STA00062,2024-01-12,revenue_milestone,bootstrapped,2500000,₹25 ARR milestone crossed.
EV000252,STA00063,2026-06-05,incubated,pre-seed,0,Joined NSRCEL pre-incubation programme.
EV000253,STA00063,2027-01-19,prototype_built,pre-seed,0,MVP built and tested internally.
EV000254,STA00064,2022-01-28,incubated,pre-seed,0,Joined IIMB pre-incubation programme.
EV000255,STA00064,2022-09-10,prototype_built,pre-seed,0,MVP built and tested internally.
EV000256,STA00064,2023-04-03,demo_day,seed,0,Pitched at T-Hub Investor Summit.
EV000257,STA00064,2024-01-07,pilot_signed,seed,0,MoU executed with Apollo Hospitals for 3-month trial.
EV000258,STA00064,2024-06-25,pre_seed_round,series-a,5000000,Pre-seed round of ₹50 closed.
EV000259,STA00064,2024-09-29,product_launched,seed,0,Public beta launched; 200 waitlist converts.
EV000260,STA00064,2024-10-31,revenue_milestone,series-a,20000,First paying customer onboarded at ₹20/month.
EV000261,STA00064,2025-03-07,seed_round,series-a,3000000,Seed round of ₹30 closed.
EV000262,STA00064,2025-09-12,series_a_round,series-a,80000000,Series A of ₹8 closed.
EV000263,STA00065,2025-01-02,incubated,pre-seed,0,Joined CIIE.CO pre-incubation programme.
EV000264,STA00065,2025-06-10,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000265,STA00065,2025-08-30,demo_day,seed,0,Showcased at Smart India Hackathon finals.
EV000266,STA00065,2026-06-17,pilot_signed,seed,0,LOI received from 9 SME clients.
EV000267,STA00065,2026-10-26,pre_seed_round,seed,5000000,Pre-seed round of ₹50 closed.
EV000268,STA00065,2027-04-25,product_launched,seed,0,Product launched on App Store and Play Store.
EV000269,STA00066,2023-01-01,incubated,pre-seed,0,Admitted to T-Hub incubation centre.
EV000270,STA00066,2023-03-19,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000271,STA00066,2023-12-07,product_launched,bootstrapped,0,SaaS platform went live; 50 sign-ups on day one.
EV000272,STA00066,2024-03-03,revenue_milestone,bootstrapped,10000,First paying customer onboarded at ₹10/month.
EV000273,STA00067,2025-06-24,incubated,pre-seed,0,Admitted to CIIE.CO incubation centre.
EV000274,STA00067,2025-08-20,prototype_built,pre-seed,0,Working prototype demonstrated to 4 pilot users.
EV000275,STA00067,2025-10-27,demo_day,seed,0,Pitched at NSRCEL Investor Summit.
EV000276,STA00067,2026-03-20,pilot_signed,seed,0,LOI received from 9 SME clients.
EV000277,STA00067,2026-12-02,pre_seed_round,seed,500000,₹5 raised at pre-seed from 9 investors.
EV000278,STA00067,2027-01-10,product_launched,seed,0,Product launched on App Store and Play Store.
EV000279,STA00068,2025-02-16,incubated,pre-seed,0,Admitted to NSRCEL incubation centre.
EV000280,STA00068,2025-06-22,grant_received,pre-seed,5000000,Received ₹50 BIRAC BIG grant.
EV000281,STA00068,2025-09-15,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000282,STA00069,2025-05-10,incubated,pre-seed,0,Joined IIMB pre-incubation programme.
EV000283,STA00069,2025-11-04,prototype_built,pre-seed,0,MVP built and tested internally.
EV000284,STA00069,2026-05-18,demo_day,seed,0,Showcased at Smart India Hackathon finals.
EV000285,STA00069,2026-11-10,pilot_signed,seed,0,MoU executed with Apollo Hospitals for 3-month trial.
EV000286,STA00069,2027-02-22,pre_seed_round,seed,3000000,Pre-seed round of ₹30 closed.
EV000287,STA00069,2027-07-30,product_launched,seed,0,Product launched on App Store and Play Store.
EV000288,STA00070,2025-02-10,incubated,pre-seed,0,Selected for Anna University cohort 2025.
EV000289,STA00070,2025-09-21,prototype_built,pre-seed,0,Working prototype demonstrated to 4 pilot users.
EV000290,STA00071,2023-02-22,incubated,pre-seed,0,Selected for IIMB cohort 2023.
EV000291,STA00071,2023-11-22,prototype_built,pre-seed,0,MVP built and tested internally.
EV000292,STA00071,2024-04-24,demo_day,seed,0,Presented at NIT Trichy Demo Day; selected top-3 startup.
EV000293,STA00071,2024-10-15,pilot_signed,seed,0,Pilot agreement signed with Indian Railways.
