competition_id,profile_id,name,competition_type,year,participation_role,result,team_size,theme,nirf_recognised
CMP00104,STU-0245,Kerala Startup Mission Demo Day,ideathon,2020,participant,Participated,5,FinTech & Financial Inclusion,false
CMP00105,ALU-0051,National Entrepreneurship Challenge (IIT Bombay),ideathon,2025,participant,Participated,2,Cybersecurity,false
CMP00106,STU-0225,India Innovation Challenge Design Contest,innovation_challenge,2019,mentor_judge,Evaluated 30 teams as domain expert judge,0,CleanTech & Sustainability,false
CMP00107,STU-0212,Vernacular AI Hackathon by AI4Bharat,product_showcase,2021,participant,Participated,4,Cybersecurity,false
CMP00108,STU-0041,Anna University Innovation Challenge,hackathon,2024,organizer,Organised successfully; 400+ participants,0,Logistics & Supply Chain,false
CMP00109,STU-0270,National Entrepreneurship Challenge (IIT Bombay),design_sprint,2023,finalist,Top 5 finalist,2,Deep Tech & AI/ML,false
CMP00110,STU-0080,Vernacular AI Hackathon by AI4Bharat,startup_pitch,2022,finalist,Top 5 finalist,2,Logistics & Supply Chain,false
CMP00111,ALU-0199,India Innovation Challenge Design Contest,design_sprint,2019,participant,Shortlisted in top 50,5,FinTech & Financial Inclusion,false
CMP00112,STU-0079,Vernacular AI Hackathon by AI4Bharat,ideathon,2021,participant,Participated,2,FinTech & Financial Inclusion,false
CMP00113,STU-0122,CII Young Indians Innovation Challenge,demo_day,2025,participant,Shortlisted in top 50,3,EdTech & Skill Development,false
CMP00114,ALU-0191,TiE Entrepreneurial Challenge,design_sprint,2020,finalist,Top 5 finalist,4,Healthcare & MedTech,false
CMP00115,STU-0165,Microsoft Imagine Cup,ideathon,2023,participant,Participated,1,Women Empowerment & Social Impact,false
CMP00116,STU-0265,NASSCOM 10K Startups,design_sprint,2022,participant,Participated,5,Women Empowerment & Social Impact,false
CMP00117,STU-0291,NASA Space Apps Challenge,innovation_challenge,2022,finalist,National finalist,5,Cybersecurity,false
CMP00118,STU-0225,T-Hub LabStart Cohort,design_sprint,2020,organizer,Organised successfully; 400+ participants,0,Women Empowerment & Social Impact,false
CMP00119,STU-0126,NIDHI Prayas Demo Day,innovation_challenge,2024,winner,2nd Place,3,Cybersecurity,false
CMP00120,STU-0236,Startup Tamil Nadu Ideathon,demo_day,2020,finalist,Top 10 finalist,1,Healthcare & MedTech,false
CMP00121,ALU-0130,Microsoft Imagine Cup,design_sprint,2019,participant,Completed submission,2,Cybersecurity,false
CMP00122,STU-0115,Vernacular AI Hackathon by AI4Bharat,product_showcase,2019,organizer,Organised successfully; 400+ participants,0,EdTech & Skill Development,false
CMP00123,ALU-0024,Smart India Hackathon,product_showcase,2024,finalist,Top 10 finalist,4,Logistics & Supply Chain,false
CMP00124,STU-0141,T-Hub LabStart Cohort,innovation_challenge,2025,participant,Participated,4,Deep Tech & AI/ML,false
CMP00125,STU-0101,T-Hub LabStart Cohort,innovation_challenge,2021,participant,Completed submission,4,AgriTech & Rural Development,false
CMP00126,STU-0291,Kerala Startup Mission Demo Day,design_sprint,2022,organizer,Organised successfully; 400+ participants,0,CleanTech & Sustainability,false
CMP00127,STU-0008,National Entrepreneurship Challenge (IIT Bombay),design_sprint,2019,participant,Completed submission,5,Healthcare & MedTech,false
CMP00128,ALU-0024,T-Hub LabStart Cohort,startup_pitch,2019,participant,Participated,2,Deep Tech & AI/ML,false
CMP00129,STU-0268,BIRAC BIG Grant Pitching Forum,demo_day,2023,finalist,Top 5 finalist,3,Women Empowerment & Social Impact,false
CMP00130,ALU-0107,TiE Entrepreneurial Challenge,demo_day,2023,participant,Completed submission,5,Cybersecurity,false
CMP00131,STU-0045,India Innovation Challenge Design Contest,startup_pitch,2021,participant,Completed submission,5,Smart Cities & GovTech,false
CMP00132,STU-0142,Google Solution Challenge,ideathon,2020,winner,Best Innovation Award,4,FinTech & Financial Inclusion,false
CMP00133,ALU-0111,Anna University Innovation Challenge,product_showcase,2023,participant,Completed submission,5,Healthcare & MedTech,false
CMP00134,STU-0006,NASA Space Apps Challenge,product_showcase,2020,participant,Completed submission,4,Women Empowerment & Social Impact,false
CMP00135,STU-0270,CII Young Indians Innovation Challenge,startup_pitch,2019,participant,Participated,5,Healthcare & MedTech,false
CMP00136,ALU-0056,IIM Ahmedabad Eureka!,ideathon,2023,winner,Best Innovation Award,1,FinTech & Financial Inclusion,false
CMP00137,STU-0011,TiE Entrepreneurial Challenge,product_showcase,2024,finalist,Top 5 finalist,5,CleanTech & Sustainability,false
CMP00138,STU-0141,Vernacular AI Hackathon by AI4Bharat,ideathon,2020,participant,Completed submission,5,FinTech & Financial Inclusion,false
CMP00139,STU-0245,Smart India Hackathon,innovation_challenge,2019,finalist,Top 5 finalist,3,Deep Tech & AI/ML,false
CMP00140,ALU-0116,National Entrepreneurship Challenge (IIT Bombay),innovation_challenge,2023,participant,Shortlisted in top 50,1,EdTech & Skill Development,false
CMP00141,ALU-0024,National Entrepreneurship Challenge (IIT Bombay),startup_pitch,2021,organizer,Coordinated 3 tracks; 200 teams,0,CleanTech & Sustainability,false
CMP00142,ALU-0166,Startup Tamil Nadu Ideathon,design_sprint,2019,participant,Participated,3,FinTech & Financial Inclusion,false
CMP00143,ALU-0024,NASA Space Apps Challenge,design_sprint,2021,participant,Participated,3,EdTech & Skill Development,false
CMP00144,STU-0017,National Entrepreneurship Challenge (IIT Bombay),startup_pitch,2024,winner,3rd Place,4,Deep Tech & AI/ML,false
CMP00145,ALU-0048,Sequoia Surge Campus Pitch,ideathon,2022,finalist,Top 10 finalist,5,Healthcare & MedTech,false
CMP00146,STU-0070,Startup Tamil Nadu Ideathon,ideathon,2025,finalist,Top 5 finalist,2,AgriTech & Rural Development,false
CMP00147,ALU-0062,Vernacular AI Hackathon by AI4Bharat,design_sprint,2019,winner,Best Innovation Award,3,AgriTech & Rural Development,false
CMP00148,ALU-0051,NASA Space Apps Challenge,design_sprint,2020,participant,Shortlisted in top 50,4,Smart Cities & GovTech,false
CMP00149,STU-0276,NASSCOM 10K Startups,ideathon,2024,participant,Completed submission,2,Cybersecurity,false
CMP00150,STU-0248,NIDHI Prayas Demo Day,innovation_challenge,2020,winner,2nd Place,2,AgriTech & Rural Development,false
CMP00151,STU-0160,Google Solution Challenge,hackathon,2019,winner,3rd Place,4,Women Empowerment & Social Impact,false
CMP00152,STU-0044,India Innovation Challenge Design Contest,startup_pitch,2023,participant,Completed submission,3,Cybersecurity,false
CMP00153,STU-0141,NASSCOM 10K Startups,product_showcase,2023,organizer,Coordinated 3 tracks; 200 teams,0,CleanTech & Sustainability,false
CMP00154,STU-0132,TOYCATHON,design_sprint,2025,participant,Completed submission,4,Cybersecurity,false
CMP00155,ALU-0060,IIT Madras Shaastra Hackathon,demo_day,2025,mentor_judge,Evaluated 30 teams as domain expert judge,0,FinTech & Financial Inclusion,false
CMP00156,STU-0017,Sequoia Surge Campus Pitch,startup_pitch,2024,finalist,Top 10 finalist,1,Healthcare & MedTech,false
CMP00157,STU-0104,Anna University Innovation Challenge,startup_pitch,2023,finalist,Top 5 finalist,3,FinTech & Financial Inclusion,false
CMP00158,STU-0276,India Innovation Challenge Design Contest,design_sprint,2021,finalist,Top 10 finalist,3,FinTech & Financial Inclusion,false
CMP00159,ALU-0130,IIT Madras Shaastra Hackathon,startup_pitch,2025,finalist,Top 10 finalist,4,CleanTech & Sustainability,false
CMP00160,STU-0135,National Entrepreneurship Challenge (IIT Bombay),ideathon,2020,finalist,National finalist,1,CleanTech & Sustainability,false
CMP00161,ALU-0143,Startup Tamil Nadu Ideathon,innovation_challenge,2020,winner,Special Jury Prize,2,Cybersecurity,false
CMP00162,ALU-0132,India Innovation Challenge Design Contest,innovation_challenge,2025,winner,2nd Place,5,Logistics & Supply Chain,false
CMP00163,ALU-0008,NIDHI Prayas Demo Day,design_sprint,2025,winner,Best Innovation Award,5,Healthcare & MedTech,false
CMP00164,STU-0168,TOYCATHON,innovation_challenge,2025,participant,Completed submission,3,Cybersecurity,false
CMP00165,ALU-0161,Anna University Innovation Challenge,startup_pitch,2021,winner,1st Place,3,Logistics & Supply Chain,false
CMP00166,ALU-0053,Smart India Hackathon,demo_day,2019,finalist,Top 5 finalist,3,Women Empowerment & Social Impact,false
CMP00167,STU-0016,NASSCOM 10K Startups,product_showcase,2021,participant,Completed submission,3,Smart Cities & GovTech,false
CMP00168,ALU-0158,NASA Space Apps Challenge,demo_day,2023,finalist,Top 5 finalist,3,Cybersecurity,false
CMP00169,STU-0172,Anna University Innovation Challenge,demo_day,2024,finalist,Top 10 finalist,5,Women Empowerment & Social Impact,false
CMP00170,STU-0082,NASSCOM 10K Startups,startup_pitch,2020,participant,Participated,3,Smart Cities & GovTech,false
CMP00171,STU-0274,Kerala Startup Mission Demo Day,ideathon,2022,finalist,National finalist,3,Cybersecurity,false
CMP00172,ALU-0056,Sequoia Surge Campus Pitch,demo_day,2020,winner,3rd Place,2,Healthcare & MedTech,false
CMP00173,STU-0258,NASA Space Apps Challenge,innovation_challenge,2020,participant,Participated,4,EdTech & Skill Development,false
CMP00174,STU-0013,TOYCATHON,hackathon,2025,participant,Shortlisted in top 50,4,Logistics & Supply Chain,false
CMP00175,STU-0107,NIDHI Prayas Demo Day,design_sprint,2020,winner,1st Place,1,Deep Tech & AI/ML,false
CMP00176,STU-0291,Sequoia Surge Campus Pitch,ideathon,2020,participant,Participated,2,Logistics & Supply Chain,false
CMP00177,STU-0036,IIT Madras Shaastra Hackathon,product_showcase,2021,winner,1st Place,4,Cybersecurity,false
CMP00178,STU-0013,Sequoia Surge Campus Pitch,innovation_challenge,2024,mentor_judge,Mentored 5 finalist teams,0,Logistics & Supply Chain,false
CMP00179,ALU-0168,National Entrepreneurship Challenge (IIT Bombay),demo_day,2023,participant,Completed submission,5,CleanTech & Sustainability,false
CMP00180,ALU-0024,CII Young Indians Innovation Challenge,product_showcase,2019,organizer,Coordinated 3 tracks; 200 teams,0,Cybersecurity,false
CMP00181,STU-0267,Microsoft Imagine Cup,startup_pitch,2019,participant,Shortlisted in top 50,1,Logistics & Supply Chain,false
CMP00182,ALU-0053,IIM Ahmedabad Eureka!,demo_day,2023,winner,2nd Place,1,Cybersecurity,false
CMP00183,ALU-0007,Smart India Hackathon,product_showcase,2022,mentor_judge,Mentored 5 finalist teams,0,CleanTech & Sustainability,false
CMP00184,STU-0013,IIT Madras Shaastra Hackathon,innovation_challenge,2022,finalist,Top 10 finalist,5,Deep Tech & AI/ML,false
CMP00185,ALU-0100,Startup Tamil Nadu Ideathon,innovation_challenge,2021,participant,Participated,1,Deep Tech & AI/ML,false
CMP00186,STU-0279,IIM Ahmedabad Eureka!,ideathon,2024,finalist,National finalist,5,CleanTech & Sustainability,false
CMP00187,STU-0187,Microsoft Imagine Cup,startup_pitch,2019,participant,Participated,4,Women Empowerment & Social Impact,false
CMP00188,STU-0126,TiE Entrepreneurial Challenge,startup_pitch,2019,finalist,National finalist,2,Healthcare & MedTech,false
CMP00189,STU-0191,Google Solution Challenge,startup_pitch,2021,mentor_judge,Evaluated 30 teams as domain expert judge,0,FinTech & Financial Inclusion,false
CMP00190,STU-0239,NASA Space Apps Challenge,innovation_challenge,2019,winner,1st Place,4,AgriTech & Rural Development,false
CMP00191,STU-0017,IIT Madras Shaastra Hackathon,demo_day,2024,participant,Shortlisted in top 50,1,Smart Cities & GovTech,false
CMP00192,STU-0058,NIDHI Prayas Demo Day,product_showcase,2022,participant,Participated,1,Logistics & Supply Chain,false
CMP00193,STU-0257,Startup Tamil Nadu Ideathon,product_showcase,2019,finalist,Top 10 finalist,1,AgriTech & Rural Development,false
CMP00194,STU-0254,TOYCATHON,innovation_challenge,2022,participant,Shortlisted in top 50,1,Logistics & Supply Chain,false
CMP00195,ALU-0185,Startup Tamil Nadu Ideathon,ideathon,2021,finalist,Top 10 finalist,3,FinTech & Financial Inclusion,false
CMP00196,STU-0141,Vernacular AI Hackathon by AI4Bharat,hackathon,2021,finalist,Top 10 finalist,4,CleanTech & Sustainability,false
CMP00197,STU-0224,Google Solution Challenge,innovation_challenge,2024,participant,Participated,4,Smart Cities & GovTech,false
CMP00198,STU-0123,Startup Tamil Nadu Ideathon,product_showcase,2020,participant,Shortlisted in top 50,1,Healthcare & MedTech,false
CMP00199,ALU-0187,Kerala Startup Mission Demo Day,innovation_challenge,2021,finalist,National finalist,1,AgriTech & Rural Development,false
CMP00200,ALU-0047,TOYCATHON,hackathon,2021,participant,Participated,2,Logistics & Supply Chain,false
CMP00201,ALU-0200,CII Young Indians Innovation Challenge,startup_pitch,2023,winner,2nd Place,3,Cybersecurity,false
CMP00202,ALU-0087,IIT Madras Shaastra Hackathon,ideathon,2020,winner,1st Place,3,Healthcare & MedTech,false
CMP00203,ALU-0024,IIM Ahmedabad Eureka!,design_sprint,2024,finalist,Top 5 finalist,4,AgriTech & Rural Development,false
CMP00204,ALU-0057,Anna University Innovation Challenge,ideathon,2022,finalist,National finalist,3,Women Empowerment & Social Impact,false
CMP00205,STU-0071,Vernacular AI Hackathon by AI4Bharat,innovation_challenge,2022,organizer,Organised successfully; 400+ participants,0,CleanTech & Sustainability,false
CMP00206,ALU-0076,Sequoia Surge Campus Pitch,hackathon,2025,winner,Special Jury Prize,5,Deep Tech & AI/ML,false
CMP00207,ALU-0073,Kerala Startup Mission Demo Day,innovation_challenge,2021,winner,1st Place,1,Logistics & Supply Chain,false
CMP00208,ALU-0155,India Innovation Challenge Design Contest,product_showcase,2023,winner,2nd Place,2,Women Empowerment & Social Impact,false
CMP00209,ALU-0030,Google Solution Challenge,hackathon,2023,participant,Shortlisted in top 50,1,Healthcare & MedTech,false
CMP00210,STU-0183,TOYCATHON,innovation_challenge,2019,winner,2nd Place,4,AgriTech & Rural Development,false
CMP00211,ALU-0098,India Innovation Challenge Design Contest,design_sprint,2023,participant,Completed submission,5,CleanTech & Sustainability,false
CMP00212,STU-0073,Smart India Hackathon,innovation_challenge,2024,participant,Participated,4,EdTech & Skill Development,false
CMP00213,STU-0063,IIT Madras Shaastra Hackathon,design_sprint,2024,finalist,National finalist,4,Smart Cities & GovTech,false
CMP00214,STU-0273,Vernacular AI Hackathon by AI4Bharat,hackathon,2024,winner,1st Place,1,CleanTech & Sustainability,false
CMP00215,STU-0016,Google Solution Challenge,hackathon,2024,participant,Participated,2,Logistics & Supply Chain,false
CMP00216,ALU-0144,CII Young Indians Innovation Challenge,design_sprint,2024,participant,Participated,2,Logistics & Supply Chain,false
